PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\sand_engram> python sand_engram_01.py
--- SAND ENGRAM 01: Humanoid-v5 ---
Maximizing Coherence (Γ)...
Ep 1050 | Reward:   71.9 | Γ: 0.0469 | Steps:   23 | Time: 74.5s
Ep 1060 | Reward:   68.7 | Γ: 0.0640 | Steps:   21 | Time: 75.1s
Ep 1070 | Reward:  111.0 | Γ: 0.0519 | Steps:   41 | Time: 75.6s
Ep 1080 | Reward:   75.3 | Γ: 0.0274 | Steps:   23 | Time: 76.2s
Ep 1090 | Reward:   64.4 | Γ: 0.0758 | Steps:   23 | Time: 76.8s
Ep 1100 | Reward:   95.3 | Γ: 0.0351 | Steps:   33 | Time: 77.4s
Ep 1110 | Reward:   82.2 | Γ: 0.0332 | Steps:   27 | Time: 77.9s
Ep 1120 | Reward:   59.7 | Γ: 0.0212 | Steps:   21 | Time: 78.5s
Ep 1130 | Reward:   73.9 | Γ: 0.0689 | Steps:   24 | Time: 79.0s
Ep 1140 | Reward:  101.0 | Γ: 0.0526 | Steps:   28 | Time: 79.6s
Ep 1150 | Reward:   89.7 | Γ: 0.0658 | Steps:   28 | Time: 80.2s
Ep 1160 | Reward:   99.8 | Γ: 0.0518 | Steps:   28 | Time: 80.7s
Ep 1170 | Reward:   71.1 | Γ: 0.0614 | Steps:   21 | Time: 81.1s
Ep 1180 | Reward:   67.5 | Γ: 0.0647 | Steps:   21 | Time: 81.6s
Ep 1190 | Reward:   79.1 | Γ: 0.0274 | Steps:   23 | Time: 82.1s
Ep 1200 | Reward:   72.2 | Γ: 0.0127 | Steps:   22 | Time: 82.6s
Ep 1210 | Reward:  103.1 | Γ: 0.0524 | Steps:   30 | Time: 83.1s
Ep 1220 | Reward:  100.4 | Γ: 0.0367 | Steps:   29 | Time: 83.5s
Ep 1230 | Reward:   95.4 | Γ: 0.0280 | Steps:   28 | Time: 84.0s
Ep 1240 | Reward:   58.8 | Γ: 0.0293 | Steps:   18 | Time: 84.4s
Ep 1250 | Reward:   82.0 | Γ: 0.0436 | Steps:   24 | Time: 84.8s
Ep 1260 | Reward:   71.8 | Γ: 0.0518 | Steps:   23 | Time: 85.2s
Ep 1270 | Reward:   68.9 | Γ: 0.0510 | Steps:   23 | Time: 85.6s
Ep 1280 | Reward:   62.9 | Γ: 0.0267 | Steps:   19 | Time: 86.0s
Ep 1290 | Reward:   57.1 | Γ: 0.0471 | Steps:   18 | Time: 86.3s
Ep 1300 | Reward:   57.6 | Γ: 0.0571 | Steps:   18 | Time: 86.7s
Ep 1310 | Reward:   60.4 | Γ: 0.0434 | Steps:   18 | Time: 87.1s
Ep 1320 | Reward:   58.9 | Γ: 0.0529 | Steps:   18 | Time: 87.5s
Ep 1330 | Reward:   55.8 | Γ: 0.0198 | Steps:   16 | Time: 87.9s
Ep 1340 | Reward:   61.6 | Γ: 0.0257 | Steps:   18 | Time: 88.2s
Ep 1350 | Reward:   59.4 | Γ: 0.0254 | Steps:   17 | Time: 88.5s
Ep 1360 | Reward:   52.0 | Γ: 0.0392 | Steps:   15 | Time: 88.9s
Ep 1370 | Reward:   53.7 | Γ: 0.0219 | Steps:   16 | Time: 89.2s
Ep 1380 | Reward:   55.2 | Γ: 0.0327 | Steps:   17 | Time: 89.5s
Ep 1390 | Reward:   56.8 | Γ: 0.0329 | Steps:   17 | Time: 89.9s
Ep 1400 | Reward:   52.3 | Γ: 0.0558 | Steps:   16 | Time: 90.2s
Ep 1410 | Reward:   56.4 | Γ: 0.0442 | Steps:   17 | Time: 90.6s
Ep 1420 | Reward:   51.9 | Γ: 0.0393 | Steps:   16 | Time: 90.9s
Ep 1430 | Reward:   56.2 | Γ: 0.0427 | Steps:   17 | Time: 91.2s
Ep 1440 | Reward:   53.0 | Γ: 0.0305 | Steps:   16 | Time: 91.6s
Ep 1450 | Reward:   51.0 | Γ: 0.0341 | Steps:   16 | Time: 91.9s
Ep 1460 | Reward:   52.3 | Γ: 0.0337 | Steps:   16 | Time: 92.3s
Ep 1470 | Reward:   53.2 | Γ: 0.0413 | Steps:   16 | Time: 92.6s
Ep 1480 | Reward:   53.0 | Γ: 0.0518 | Steps:   16 | Time: 92.9s
Ep 1490 | Reward:   50.3 | Γ: 0.0520 | Steps:   16 | Time: 93.3s
Ep 1500 | Reward:   56.8 | Γ: 0.0197 | Steps:   17 | Time: 93.6s
Ep 1510 | Reward:   50.3 | Γ: 0.0974 | Steps:   15 | Time: 94.0s
Ep 1520 | Reward:   52.6 | Γ: 0.0650 | Steps:   16 | Time: 94.3s
Ep 1530 | Reward:   60.1 | Γ: 0.0586 | Steps:   18 | Time: 94.7s
Ep 1540 | Reward:   50.6 | Γ: 0.0354 | Steps:   15 | Time: 95.0s
Ep 1550 | Reward:   57.3 | Γ: 0.0594 | Steps:   17 | Time: 95.4s
Ep 1560 | Reward:   51.3 | Γ: 0.0465 | Steps:   16 | Time: 95.7s
Ep 1570 | Reward:   77.9 | Γ: 0.0767 | Steps:   22 | Time: 96.1s
Ep 1580 | Reward:   57.4 | Γ: 0.1120 | Steps:   17 | Time: 96.4s
Ep 1590 | Reward:   54.3 | Γ: 0.0879 | Steps:   16 | Time: 96.7s
Ep 1600 | Reward:   56.9 | Γ: 0.0550 | Steps:   17 | Time: 97.1s
Ep 1610 | Reward:   56.9 | Γ: 0.0827 | Steps:   17 | Time: 97.5s
Ep 1620 | Reward:   58.7 | Γ: 0.0785 | Steps:   18 | Time: 97.8s
Ep 1630 | Reward:   84.9 | Γ: 0.0993 | Steps:   26 | Time: 98.2s
Ep 1640 | Reward:   64.1 | Γ: 0.0901 | Steps:   19 | Time: 98.7s
Ep 1650 | Reward:   69.5 | Γ: 0.1494 | Steps:   21 | Time: 99.2s
Ep 1660 | Reward:   55.5 | Γ: 0.1708 | Steps:   17 | Time: 99.6s
Ep 1670 | Reward:   74.1 | Γ: 0.1224 | Steps:   22 | Time: 100.1s
Ep 1680 | Reward:  102.8 | Γ: 0.0843 | Steps:   31 | Time: 100.6s
Ep 1690 | Reward:   98.0 | Γ: 0.0899 | Steps:   32 | Time: 101.3s
Ep 1700 | Reward:   93.1 | Γ: 0.0920 | Steps:   32 | Time: 102.1s
Ep 1710 | Reward:  100.3 | Γ: 0.0276 | Steps:   30 | Time: 102.8s
Ep 1720 | Reward:   89.6 | Γ: 0.0920 | Steps:   25 | Time: 103.3s
Ep 1730 | Reward:   85.1 | Γ: 0.0735 | Steps:   24 | Time: 103.7s
Ep 1740 | Reward:   49.9 | Γ: 0.1134 | Steps:   16 | Time: 104.1s
Ep 1750 | Reward:   63.7 | Γ: 0.1254 | Steps:   19 | Time: 104.5s
Ep 1760 | Reward:   85.4 | Γ: 0.0388 | Steps:   25 | Time: 104.9s
Ep 1770 | Reward:   57.0 | Γ: 0.0628 | Steps:   17 | Time: 105.2s
