ticker,type,data_points,daily_return_fractal_dimension,daily_return_std_dev,daily_return_kurtosis,daily_return_ki_resonance_score,daily_return_fundamental_freq,volatility_fractal_dimension,volatility_std_dev,volatility_kurtosis,volatility_ki_resonance_score,volatility_fundamental_freq,normalized_volume_fractal_dimension,normalized_volume_std_dev,normalized_volume_kurtosis,normalized_volume_ki_resonance_score,normalized_volume_fundamental_freq,zscore_daily_return_fractal_dimension,zscore_daily_return_std_dev,zscore_daily_return_kurtosis,zscore_daily_return_fundamental_freq,zscore_volatility_fractal_dimension,zscore_volatility_std_dev,zscore_volatility_kurtosis,zscore_volatility_fundamental_freq,zscore_normalized_volume_fractal_dimension,zscore_normalized_volume_std_dev,zscore_normalized_volume_kurtosis,zscore_normalized_volume_fundamental_freq
aoa.us,ETFs,2265,0.216365,0.010295,13.848701,0.000000,0.108216,0.719234,0.632457,914.298902,0.000000,0.003091,0.405108,1.076150,60.271545,0.511086,0.003974,0.008710,-0.014839,-0.120792,-1.221101,1.924674,-0.012310,3.795783,-0.199462,-0.203585,-0.373757,-0.477359,-0.298178
aok.us,ETFs,2257,0.312374,0.005112,149.708158,0.000000,0.449025,0.920032,0.379604,1333.538016,0.000000,0.001329,0.461605,1.228541,100.808744,0.000000,0.007975,0.050944,-0.015567,0.423668,1.250992,3.031770,-0.012311,5.717855,-0.238110,0.344064,-0.187434,-0.178160,-0.216248
aom.us,ETFs,2261,0.337391,0.006879,50.759539,0.000000,0.301770,0.630444,0.423988,521.920813,0.000000,0.001327,0.398337,1.125002,46.316043,0.958666,0.003981,0.061949,-0.015319,0.027129,0.182864,1.435135,-0.012311,1.996860,-0.238162,-0.269219,-0.314027,-0.580363,-0.298034
aor.us,ETFs,2264,0.197938,0.008892,86.658625,0.943199,0.479894,0.597170,0.335952,531.514913,0.000000,0.001767,0.383869,1.223042,50.607493,0.367154,0.003975,0.000604,-0.015036,0.170995,1.474904,1.251676,-0.012312,2.040846,-0.228508,-0.409462,-0.194158,-0.548688,-0.298142
argt.us,ETFs,1620,0.199757,0.016065,8.273869,0.725968,0.119827,0.308406,0.188228,11.356934,0.000000,0.002469,0.458729,1.640233,95.074456,0.000000,0.005556,0.001404,-0.014029,-0.143133,-1.136876,-0.340412,-0.012312,-0.343906,-0.213097,0.316179,0.315928,-0.220484,-0.265788
asea.us,ETFs,1657,0.154141,0.011294,6.560002,0.887615,0.429952,0.336561,0.081335,23.538772,0.000000,0.001811,0.533568,2.446433,149.754089,0.000000,0.008449,-0.018663,-0.014699,-0.150001,1.112643,-0.185180,-0.012313,-0.288056,-0.227549,1.041615,1.301642,0.183098,-0.206547
ashr.us,ETFs,1009,0.224606,0.020794,16.892258,0.000000,0.246032,0.348571,0.200487,25.768836,0.000000,0.005946,0.304834,0.885850,22.855990,0.687907,0.004955,0.012335,-0.013365,-0.108595,-0.221438,-0.118967,-0.012312,-0.277832,-0.136793,-1.175570,-0.606431,-0.753518,-0.278075
ashs.us,ETFs,872,0.190842,0.026540,16.616817,1.473747,0.146958,0.423254,0.641516,71.739433,0.000000,0.005734,0.394827,1.318773,64.772783,0.629646,0.006881,-0.002518,-0.012557,-0.109698,-0.940082,0.292799,-0.012310,-0.067072,-0.141457,-0.303242,-0.077110,-0.444136,-0.238656
atmp.us,ETFs,1174,0.132916,0.016331,11.143870,0.000000,0.237852,0.421337,0.345729,150.479976,0.000000,0.003407,0.510466,1.909959,216.664626,0.000000,0.004259,-0.028000,-0.013991,-0.131631,-0.280773,0.282226,-0.012312,0.293927,-0.192514,0.817683,0.645714,0.676955,-0.292334
ause.us,ETFs,1593,0.140142,0.013843,6.664131,1.845475,0.300879,0.344184,0.289649,24.122508,0.381408,0.005022,0.419087,1.395145,59.204977,0.000000,0.006905,-0.024821,-0.014341,-0.149584,0.176405,-0.143155,-0.012312,-0.285380,-0.157080,-0.068082,0.016267,-0.485232,-0.238155
axjl.us,ETFs,1581,0.157576,0.011628,7.175580,0.000000,0.382278,0.329610,0.280343,16.358342,0.000000,0.001898,0.392018,1.548324,47.446123,0.000000,0.008223,-0.017151,-0.014652,-0.147534,0.766841,-0.223506,-0.012312,-0.320976,-0.225639,-0.330472,0.203555,-0.572022,-0.211182
axjv.us,ETFs,588,0.166949,0.009179,6.669960,0.768671,0.083475,0.238838,0.090675,10.621655,0.000000,0.418367,0.287592,2.431480,29.244015,0.000000,0.040816,-0.013028,-0.014996,-0.149561,-1.400557,-0.723976,-0.012313,-0.347277,8.912920,-1.342699,1.283360,-0.706369,0.456139
ayt.us,ETFs,425,0.124743,0.007155,10.882428,0.000000,0.431604,0.204714,0.379012,7.781325,0.000000,0.007059,0.286885,2.580529,30.728579,0.000000,0.007059,-0.031595,-0.015280,-0.132679,1.124627,-0.912119,-0.012311,-0.360299,-0.112385,-1.349549,1.465598,-0.695412,-0.235010
bab.us,ETFs,2010,0.137992,0.005030,10.984127,0.000000,0.339970,0.355573,0.089203,47.747233,0.000000,0.000995,0.449068,0.818789,114.677991,0.561248,0.007960,-0.025767,-0.015578,-0.132272,0.459953,-0.080360,-0.012313,-0.177069,-0.245443,0.222539,-0.688424,-0.075793,-0.216555
bal.us,ETFs,2339,0.198438,0.018572,6.158991,0.000000,0.349444,0.326025,0.857032,15.925800,0.000000,0.002138,0.342789,1.222791,22.756892,1.382411,0.002138,0.000824,-0.013676,-0.151608,0.528673,-0.243274,-0.012309,-0.322959,-0.220370,-0.807661,-0.194464,-0.754250,-0.335765
bbh.us,ETFs,3201,0.194205,0.013912,6.381733,0.000000,0.093125,0.556577,1.137201,134.600800,0.000000,0.002187,0.344598,0.744729,15.506635,0.000000,0.005623,-0.001038,-0.014331,-0.150716,-1.330562,1.027869,-0.012308,0.221126,-0.219291,-0.790120,-0.778974,-0.807763,-0.264402
bbp.us,ETFs,730,0.202307,0.018139,5.121903,0.922892,0.178326,0.248248,0.430813,12.133100,0.000000,0.002740,0.432049,1.260841,181.917270,0.000000,0.002740,0.002525,-0.013737,-0.155764,-0.712545,-0.672096,-0.012311,-0.340348,-0.207159,0.057564,-0.147941,0.420490,-0.323439
bbrc.us,ETFs,1281,0.195639,0.010386,5.282400,0.000000,0.038281,0.295630,0.107954,14.724432,0.000000,0.003123,0.555772,2.872436,214.688062,0.808932,0.005464,-0.000408,-0.014826,-0.155121,-1.728376,-0.410857,-0.012313,-0.328467,-0.198759,1.256853,1.822503,0.662367,-0.267652
bcm.us,ETFs,1468,0.136311,0.009737,6.990016,0.782332,0.303340,0.811570,0.625132,977.453720,0.000000,0.001362,0.466873,2.907721,97.556386,0.000000,0.004768,-0.026506,-0.014917,-0.148278,0.194254,2.433765,-0.012310,4.085327,-0.237382,0.395125,1.865645,-0.202165,-0.281904
bdcl.us,ETFs,1626,0.123262,0.021308,17.340260,0.000000,0.467077,0.315428,0.175547,19.886792,0.000000,0.001845,0.291525,0.733509,11.718209,0.000000,0.004305,-0.032246,-0.013292,-0.106799,1.381935,-0.301701,-0.012312,-0.304799,-0.226791,-1.304579,-0.792693,-0.835725,-0.291391
bdcs.us,ETFs,1618,0.133878,0.011524,20.558329,0.000000,0.410019,0.385011,0.225971,57.675925,0.000000,0.001854,0.408671,1.388660,90.011061,1.493468,0.004326,-0.027576,-0.014666,-0.093903,0.968056,0.081947,-0.012312,-0.131549,-0.226591,-0.169045,0.008339,-0.257856,-0.290955
