ticker,type,data_points,daily_return_fractal_dimension,daily_return_std_dev,daily_return_kurtosis,daily_return_ki_resonance_score,daily_return_fundamental_freq,volatility_fractal_dimension,volatility_std_dev,volatility_kurtosis,volatility_ki_resonance_score,volatility_fundamental_freq,normalized_volume_fractal_dimension,normalized_volume_std_dev,normalized_volume_kurtosis,normalized_volume_ki_resonance_score,normalized_volume_fundamental_freq
xhe.us,ETFs,1646,0.22147009262636363,0.01094446903939863,6.252564432639219,0.936962658765722,0.17264437689969606,0.5179462172071793,0.38418247623732443,261.00272750368833,0.0,0.002430133657351154,0.38553645499418865,1.8657760937017178,51.59434219438938,0.0,0.006075334143377885
xhs.us,ETFs,1470,0.16363614616013927,0.010824516779090056,5.650165193393915,0.0,0.12049012933968685,0.3918094113867187,0.4824501989660607,60.996228945589905,0.0,0.002040816326530612,0.6106088088310426,2.3705137011603825,350.4864162814253,0.0,0.019727891156462583
xiv.us,ETFs,1747,0.24714478546451915,0.0396233005308037,7.006686581866175,1.813737069610569,0.4707903780068729,0.35283912176168863,1.133081444601798,28.34647904030045,0.0,0.001717229536348025,0.32064266625380694,0.7883185791700807,26.3322764459852,0.0,0.0011448196908986834
xlb.us,ETFs,3201,0.15530388599382067,0.015268880106206405,10.774152878721992,0.0,0.248125,0.3312952033430236,0.3288054864798311,12.767408279105668,0.0,0.0006248047485160887,0.3091425130897478,0.5280107844942259,13.521577395046238,0.6523218547457844,0.004686035613870665
xle.us,ETFs,3201,0.15651535205735256,0.018209912654455148,13.078037849913017,1.8063389548465079,0.4915625,0.35190981486762957,0.6757153153231522,19.558792595331763,0.0,0.0006248047485160887,0.3178367284861558,0.43125714481043204,13.695836762735036,0.7038668476827594,0.004373633239612621
xlf.us,ETFs,3201,0.1316347806470641,0.020420200252805384,18.195676012732786,0.9521522782622203,0.2984375,1.341193088347394,0.7742635462286814,2646.595548199221,0.0,0.0012496094970321774,0.2985103370021382,0.5646656236417477,13.625262321140953,0.0,0.0028116213683223993
xlg.us,ETFs,3150,0.21405850553837252,0.011192560936914992,15.307269943550827,0.8851790139326489,0.2985074626865672,0.7743656765246676,1.3486378494054585,1518.5914395441428,0.0,0.0006349206349206349,0.4493473729696244,1.4126257910008433,77.59993552152112,0.8686224668631161,0.0038095238095238095
xli.us,ETFs,3201,0.15752070306904575,0.01303701568590628,10.101375254818683,0.8456920551231555,0.248125,0.34192718627762747,0.2751792687055886,14.771158917150228,0.0,0.0006248047485160887,0.322938978489115,0.5522725867738935,15.852664510613653,0.0,0.005310840362386754
xlk.us,ETFs,3201,0.3110768584389803,0.012432530564944286,14.193792047951254,0.0,0.34500000000000003,0.5458558579405091,0.2500387360206784,277.7946610495992,0.0,0.0006248047485160887,0.2700197344025774,0.5470431827907881,9.816117825142722,0.0,0.005935645110902842
xlp.us,ETFs,3201,0.15167915404813545,0.008300720743512074,8.794358736736498,1.9603494830825534,0.3003125,0.3840687065982043,0.21646639105641766,28.57744920213569,0.0,0.0006248047485160887,0.356636402004861,0.6117562484118179,20.85594953246066,0.7276189262196529,0.003436426116838488
xlu.us,ETFs,3201,0.3229967794990336,0.011105691856672352,15.700510707325906,0.0,0.2275,0.35496491362805577,0.27351014034645216,17.184424785087668,0.0,0.0006248047485160887,0.29793679666964323,0.5183357396005964,10.797779831798833,0.0,0.006560449859418931
xlv.us,ETFs,3201,0.20018131711967987,0.010212510884873044,15.248771062067622,0.0,0.2984375,0.577184044264257,0.43079739699511743,302.9088407947593,0.0,0.0006248047485160887,0.3005598021195388,0.579196773096938,12.495368386761925,0.9194939616994343,0.004373633239612621
xly.us,ETFs,3201,0.1807376091385283,0.013186959437496225,10.699821756675558,0.0,0.248125,0.43848100264686896,0.3708736700194062,48.67001716092832,0.0,0.0006248047485160887,0.3078271863665875,0.6024476851190759,13.976294481287585,0.0,0.004373633239612621
xme.us,ETFs,2867,0.1454332034871767,0.026066815501896542,8.40695157196979,0.9015148744611048,0.1936496859734822,0.3915844290469452,0.8325523261443893,13.865045961934724,0.0,0.0010463899546564353,0.48800890263284025,0.8678492866092359,204.61787213751543,1.21502609952702,0.005231949773282177
xmlv.us,ETFs,1186,0.16243625079190135,0.007075769800805101,4.782696233704933,0.0,0.15527426160337554,0.612089569203209,0.44468605625719587,861.2180404165542,0.0,0.09359190556492411,0.4454957661852191,1.7266142564402454,119.41580955815407,0.8805672105540973,0.0042158516020236085
xmpt.us,ETFs,1561,0.15659487434413405,0.005667949354012419,8.784862000121121,0.7650581452460649,0.075,0.5629361324418058,0.2041616688171125,542.8450359172699,0.0,0.0012812299807815502,0.3406757423633751,1.4102670207870334,35.408350476063596,0.0,0.0038436899423446506
xop.us,ETFs,2867,0.17730342355033038,0.024332110274351684,10.160705440119049,1.5612642495470874,0.1936496859734822,0.6192164897533262,1.0705888879708068,958.8716638810777,0.0,0.0010463899546564353,0.420209206070043,0.8659081533652232,73.41647578688693,0.0,0.008371119637251482
xph.us,ETFs,2844,0.19225359037527645,0.013785759695202212,7.417339408312092,0.8452368461867411,0.16953921913471684,0.5928922579970242,0.5710980986931101,338.035669394685,0.6870181793955542,0.0028129395218002813,0.48509615369015957,1.5452270020153291,86.21228376195,0.0,0.006329113924050633
xpp.us,ETFs,2125,0.14885263459973533,0.030867499601349196,4.777435434066731,0.0,0.2565913370998117,0.34122971860697054,0.8323382676863833,14.020743279031329,0.0,0.0009411764705882353,0.46866580299551575,0.8441437183223193,141.53889635260018,2.232294560503914,0.005647058823529412
xrlv.us,ETFs,618,0.14675831650715665,0.007053758071726882,6.165529318100022,0.6995679696408162,0.05348460291734197,0.3073519810018362,0.11506196613687106,54.24262671788773,0.0,0.00970873786407767,0.35914246751680473,2.5008230567140948,71.08172622503032,0.0,0.004854368932038835
xrt.us,ETFs,2866,0.16609970007299704,0.016213018120490287,8.27851533973266,0.7837281560322343,0.30017452006980805,0.3524157718442034,0.25753211260118125,17.834747823559482,0.0,0.00104675505931612,0.24332356549083625,0.5746676243725494,7.376910869558067,0.0,0.00418702023726448
xsd.us,ETFs,2959,0.161258302799493,0.017968054376512436,5.285711660863321,1.7198475471088748,0.10412440838404327,0.43042798253936115,0.3521385053790739,69.66247480975237,0.0,0.0006759040216289286,0.4789984633632973,1.6435525635639194,53.69074522302078,0.0,0.0037174721189591076
xslv.us,ETFs,1191,0.15691277915802773,0.00798660145368599,3.8768220743502533,1.4241356068506583,0.3008403361344538,0.5999137596196694,0.4816360810880593,876.6152845843216,0.9789570027510635,0.009235936188077245,0.3760005000596982,1.2631084029010584,69.2991860857935,1.8474444767192288,0.009235936188077245
xsoe.us,ETFs,431,0.15939910348961125,0.014475804975548979,8.139399514060841,0.0,0.24651162790697673,0.3069766869443675,0.14186365320545005,69.78037360401537,0.8075079333252526,0.25754060324825984,0.4295173073678617,4.370038288841167,120.10389579682997,0.8436892037043412,0.03944315545243619
xsw.us,ETFs,1448,0.14851272925002001,0.011158777855260902,4.951229649668148,0.0,0.36420179682100895,0.6031664074975089,0.4949548479605218,618.8768933373366,0.0,0.0020718232044198894,0.4568741644996839,2.0605428040710696,112.24267658276035,0.0,0.0027624309392265192
xt.us,ETFs,618,0.1899752431404766,0.009122981416809582,6.129511622580633,0.714261151138457,0.05348460291734197,0.3050088489766926,0.13943480844315423,27.761818339946675,0.0,0.00970873786407767,0.3247527570977279,1.2185350253758953,85.30877807097202,0.0,0.006472491909385114
xtl.us,ETFs,1563,0.18019193267858344,0.01270985380917424,7.040389284685136,0.7202690612730948,0.14468629961587706,0.4733091871358951,0.5105009843435855,151.20881178800602,0.0,0.0025591810620601407,0.4277389202436982,2.587205711117534,59.41774841980498,1.822028866905756,0.15419065898912349
xtn.us,ETFs,1670,0.1649026503173361,0.013198876277883834,5.0009495640255,0.8679554933923211,0.1695626123427202,0.3736878591623856,0.3722573964048056,38.55782338713349,0.48527182068362534,0.0029940119760479044,0.3747331269918431,1.447816140516832,39.96345756901909,0.682285596069692,0.004191616766467066
