--- 🔬 STARTING SIMULATION & DATA DUMP ---
Frame, P1_m, P1_l, P2_m, P2_l, P3_m, P3_l
158, -2.11520, 1.01377, 0.50279, -1.54737, 1.66228, -0.27408
159, -1.56806, 1.52552, -0.04364, -1.40162, 1.48165, -0.95637
160, -0.90200, 1.91081, -0.56826, -1.13717, 1.16367, -1.57671
161, -0.15832, 2.14130, -1.03689, -0.76735, 0.72869, -2.09528
162, 0.61531, 2.19963, -1.41920, -0.31363, 0.20613, -2.47897
163, 1.36819, 2.08089, -1.69086, 0.19571, -0.36752, -2.70359
164, 2.05032, 1.79304, -1.83528, 0.72749, -0.95106, -2.75541
165, 2.61589, 1.35648, -1.84482, 1.24593, -1.50151, -2.63213
166, 3.02626, 0.80261, -1.72139, 1.71512, -1.97714, -2.34317
167, 3.25263, 0.17172, -1.47627, 2.10145, -2.34046, -1.90920
168, 3.27814, -0.48978, -1.12936, 2.37604, -2.56084, -1.36088
169, 3.09922, -1.13248, -0.70781, 2.51675, -2.61686, -0.73689
170, 2.72609, -1.70739, -0.24423, 2.50995, -2.49799, -0.08117
171, 2.18217, -2.16953, 0.22568, 2.35159, -2.20571, 0.56011
172, 1.50254, -2.48136, 0.66559, 2.04774, -1.75362, 1.14176
173, 0.73170, -2.61560, 1.04127, 1.61434, -1.16683, 1.62272
174, -0.07929, -2.55723, 1.32310, 1.07632, -0.48050, 1.96897
175, -0.87622, -2.30462, 1.48823, 0.46606, 0.26234, 2.15601
176, -1.60552, -1.86992, 1.52234, -0.17868, 1.01364, 2.17071
177, -2.21795, -1.27859, 1.42080, -0.81728, 1.72378, 2.01239
178, -2.67196, -0.56805, 1.18904, -1.40899, 2.34513, 1.69295
179, -2.93662, 0.21480, 0.84230, -1.91582, 2.83529, 1.23608
180, -2.99404, 1.01697, 0.40458, -2.30516, 3.15990, 0.67564
181, -2.84081, 1.78302, -0.09291, -2.55207, 3.29508, 0.05329
182, -2.48824, 2.45878, -0.61384, -2.64084, 3.22924, -0.58433
183, -1.96157, 2.99508, -1.11928, -2.56613, 2.96416, -1.18876
184, -1.29829, 3.35124, -1.57052, -2.33338, 2.51505, -1.71311
185, -0.54582, 3.49816, -1.93175, -1.95859, 1.90962, -2.11558
186, 0.24154, 3.42056, -2.17272, -1.46743, 1.18631, -2.36267
187, 1.00634, 3.11831, -2.27084, -0.89361, 0.39180, -2.43173
188, 1.69233, 2.60679, -2.21305, -0.27664, -0.42197, -2.31257
189, 2.24864, 1.91603, -1.99694, 0.34094, -1.20130, -2.00830
190, 2.63331, 1.08889, -1.63125, 0.91651, -1.89452, -1.53537
191, 2.81625, 0.17815, -1.13560, 1.41033, -2.45542, -0.92299
192, 2.78155, -0.75691, -0.53935, 1.78829, -2.84646, -0.21132
193, 2.52898, -1.65428, 0.12006, 2.02441, -3.04152, 0.55137
194, 2.07407, -2.45358, 0.79968, 2.10275, -3.02803, 1.31224
195, 1.44694, -3.10065, 1.45411, 2.01872, -2.80788, 2.01747
196, 0.69034, -3.55153, 2.03887, 1.77941, -2.39728, 2.61579
197, -0.14288, -3.77517, 2.51353, 1.40317, -1.82553, 3.06207
198, -0.99312, -3.75529, 2.84433, 0.91830, -1.13316, 3.32064
199, -1.79850, -3.49169, 3.00649, 0.36104, -0.36954, 3.36801
200, -2.49948, -3.00046, 2.98607, -0.22686, 0.41030, 3.19483
201, -3.04305, -2.31336, 2.78119, -0.80097, 1.14958, 2.80684
202, -3.38607, -1.47621, 2.40240, -1.31720, 1.79423, 2.22480
203, -3.49833, -0.54602, 1.87210, -1.73504, 2.29687, 1.48332
204, -3.36525, 0.41342, 1.22310, -2.02071, 2.62002, 0.62857
205, -2.98952, 1.33612, 0.49652, -2.14978, 2.73881, -0.28477
206, -2.39107, 2.15819, -0.26082, -2.10890, 2.64295, -1.19701
207, -1.60571, 2.82207, -0.99952, -1.89678, 2.33771, -2.04740
208, -0.68303, 3.28068, -1.67099, -1.52448, 1.84338, -2.77856
209, 0.31632, 3.50104, -2.23078, -1.01507, 1.19388, -3.34092
210, 1.32469, 3.46680, -2.64156, -0.40233, 0.43471, -3.69600
211, 2.27282, 3.17959, -2.87588, 0.27166, -0.37982, -3.81867
212, 3.09503, 2.65910, -2.91827, 0.95963, -1.19028, -3.69887
213, 3.73323, 1.94167, -2.76646, 1.61236, -1.93662, -3.34257
214, 4.14054, 1.07786, -2.43152, 2.18200, -2.56263, -2.77163
215, 4.28487, 0.12881, -1.93703, 2.62528, -3.01970, -2.02281
216, 4.15155, -0.83783, -1.31761, 2.90678, -3.27005, -1.14574
217, 3.74494, -1.75213, -0.61679, 3.00150, -3.28960, -0.19953
218, 3.08844, -2.54648, 0.11576, 2.89696, -3.07024, 0.75164
219, 2.22276, -3.16103, 0.82767, 2.59435, -2.62085, 1.64297
220, 1.20317, -3.54852, 1.46780, 2.10870, -1.96685, 2.41328
221, 0.09626, -3.67746, 1.99004, 1.46814, -1.14855, 3.00923
222, -1.02421, -3.53401, 2.35654, 0.71209, -0.21884, 3.38921
223, -2.08266, -3.12317, 2.54041, -0.11133, 0.76005, 3.52646
224, -3.00722, -2.46882, 2.52766, -0.94843, 1.72109, 3.41116
225, -3.73445, -1.61289, 2.31837, -1.74351, 2.59754, 3.05123
226, -4.21338, -0.61292, 1.92672, -2.44280, 3.32753, 2.47191
227, -4.40958, 0.46234, 1.38002, -2.99838, 3.85798, 1.71410
228, -4.30808, 1.53801, 0.71696, -3.37156, 4.14827, 0.83154
229, -3.91449, 2.53779, -0.01482, -3.53543, 4.17342, -0.11296
230, -3.25455, 3.38899, -0.76195, -3.47670, 3.92626, -1.05162
231, -2.37250, 4.02785, -1.46911, -3.19681, 3.41833, -1.91614
