PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_hybrid_3.py --basin-json basin_structure.json
Using device: cuda
FIT-in-a-Box models will be saved in: ./fractal_intelligence_transfer_models/

=== Hydra Humanoid Orchestrator ===
Modes: ['pure', 'touch', 'brain', 'fusion']
Device: cuda


Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033
[fusion] Ep 0064 | EnvRet:   140.5 | Loss:   -50.749 | DR: 0.940 | Γ: 1.673
[pure  ] Ep 0065 | EnvRet:   144.3 | Loss:   -71.257 | DR: 0.937 | Γ: 1.764
[touch ] Ep 0066 | EnvRet:   163.4 | Loss:   -40.030 | DR: 0.952 | Γ: 1.729
[brain ] Ep 0067 | EnvRet:   138.2 | Loss:   -69.892 | DR: 0.955 | Γ: 1.672
[fusion] Ep 0068 | EnvRet:   126.7 | Loss:   -37.903 | DR: 0.949 | Γ: 1.709
[pure  ] Ep 0069 | EnvRet:   152.5 | Loss:   -37.493 | DR: 0.946 | Γ: 1.726
[touch ] Ep 0070 | EnvRet:   113.8 | Loss:   -17.159 | DR: 0.958 | Γ: 1.709
[brain ] Ep 0071 | EnvRet:   132.7 | Loss:   -64.640 | DR: 0.946 | Γ: 1.763
[fusion] Ep 0072 | EnvRet:   143.2 | Loss:   -13.840 | DR: 0.943 | Γ: 1.726
[pure  ] Ep 0073 | EnvRet:   118.2 | Loss:   -32.680 | DR: 0.953 | Γ: 1.709
[touch ] Ep 0074 | EnvRet:   170.1 | Loss:   -23.767 | DR: 0.949 | Γ: 1.768
[brain ] Ep 0075 | EnvRet:   190.3 | Loss:   -73.415 | DR: 0.955 | Γ: 1.714
[fusion] Ep 0076 | EnvRet:   144.8 | Loss:   -38.015 | DR: 0.952 | Γ: 1.678
[pure  ] Ep 0077 | EnvRet:   159.7 | Loss:   -43.579 | DR: 0.943 | Γ: 1.724
[touch ] Ep 0078 | EnvRet:   115.4 | Loss:   -23.179 | DR: 0.920 | Γ: 1.737
[brain ] Ep 0079 | EnvRet:   126.6 | Loss:   -25.012 | DR: 0.918 | Γ: 1.755
[fusion] Ep 0080 | EnvRet:   136.7 | Loss:   -12.153 | DR: 0.960 | Γ: 1.716
[pure  ] Ep 0081 | EnvRet:   162.0 | Loss:   -59.440 | DR: 0.930 | Γ: 1.684
[touch ] Ep 0082 | EnvRet:   156.7 | Loss:   -27.984 | DR: 0.940 | Γ: 1.698
[brain ] Ep 0083 | EnvRet:   120.8 | Loss:   -12.422 | DR: 0.949 | Γ: 1.776
[fusion] Ep 0084 | EnvRet:   173.4 | Loss:   -65.280 | DR: 0.962 | Γ: 1.706
[pure  ] Ep 0085 | EnvRet:   143.1 | Loss:   -35.227 | DR: 0.949 | Γ: 1.695
   ↳ [Hydra] New global plateau: 207.3 (mode=touch)
[touch ] Ep 0086 | EnvRet:   207.3 | Loss:     6.474 | DR: 0.953 | Γ: 1.799
[brain ] Ep 0087 | EnvRet:   100.6 | Loss:   -27.364 | DR: 0.971 | Γ: 1.779
[fusion] Ep 0088 | EnvRet:   107.4 | Loss:   -34.862 | DR: 0.954 | Γ: 1.697
[pure  ] Ep 0089 | EnvRet:   151.6 | Loss:    27.852 | DR: 0.927 | Γ: 1.733
[touch ] Ep 0090 | EnvRet:   155.5 | Loss:   -34.786 | DR: 0.942 | Γ: 1.793
[brain ] Ep 0091 | EnvRet:   108.9 | Loss:   -51.446 | DR: 0.940 | Γ: 1.720
[fusion] Ep 0092 | EnvRet:   154.0 | Loss:   -62.315 | DR: 0.934 | Γ: 1.718
[pure  ] Ep 0093 | EnvRet:   112.0 | Loss:   -91.271 | DR: 0.911 | Γ: 1.733
[touch ] Ep 0094 | EnvRet:   181.2 | Loss:   -43.591 | DR: 0.933 | Γ: 1.729
[brain ] Ep 0095 | EnvRet:    95.4 | Loss:   -79.753 | DR: 0.935 | Γ: 1.695
[fusion] Ep 0096 | EnvRet:   170.3 | Loss:   -45.387 | DR: 0.959 | Γ: 1.676
[pure  ] Ep 0097 | EnvRet:   140.2 | Loss:   -54.212 | DR: 0.935 | Γ: 1.685
[touch ] Ep 0098 | EnvRet:    93.1 | Loss:   -25.045 | DR: 0.945 | Γ: 1.781
[brain ] Ep 0099 | EnvRet:   129.8 | Loss:   -73.202 | DR: 0.952 | Γ: 1.737
[fusion] Ep 0100 | EnvRet:   182.9 | Loss:   -42.257 | DR: 0.948 | Γ: 1.772
[pure  ] Ep 0101 | EnvRet:   159.6 | Loss:   -95.033 | DR: 0.964 | Γ: 1.722
   ↳ [Hydra] New global plateau: 233.1 (mode=touch)
[touch ] Ep 0102 | EnvRet:   233.1 | Loss:   -36.771 | DR: 0.959 | Γ: 1.697
[brain ] Ep 0103 | EnvRet:   151.6 | Loss:   -41.213 | DR: 0.950 | Γ: 1.738
[fusion] Ep 0104 | EnvRet:   147.2 | Loss:   -88.206 | DR: 0.960 | Γ: 1.772
[pure  ] Ep 0105 | EnvRet:   127.7 | Loss:   -32.438 | DR: 0.930 | Γ: 1.677
[touch ] Ep 0106 | EnvRet:   116.3 | Loss:   -74.341 | DR: 0.920 | Γ: 1.741
[brain ] Ep 0107 | EnvRet:   116.9 | Loss:   -39.315 | DR: 0.941 | Γ: 1.786
[fusion] Ep 0108 | EnvRet:    96.5 | Loss:   -38.140 | DR: 0.951 | Γ: 1.734
[pure  ] Ep 0109 | EnvRet:   100.7 | Loss:   -41.292 | DR: 0.960 | Γ: 1.731
[touch ] Ep 0110 | EnvRet:    95.1 | Loss:   -78.844 | DR: 0.960 | Γ: 1.802
[brain ] Ep 0111 | EnvRet:   144.3 | Loss:   -50.803 | DR: 0.950 | Γ: 1.720
[fusion] Ep 0112 | EnvRet:   120.0 | Loss:   -72.933 | DR: 0.961 | Γ: 1.770
[pure  ] Ep 0113 | EnvRet:   121.6 | Loss:   -62.287 | DR: 0.944 | Γ: 1.769
[touch ] Ep 0114 | EnvRet:   140.3 | Loss:   -83.855 | DR: 0.954 | Γ: 1.747
[brain ] Ep 0115 | EnvRet:   174.5 | Loss:   -13.361 | DR: 0.949 | Γ: 1.720
[fusion] Ep 0116 | EnvRet:   100.5 | Loss:   -58.319 | DR: 0.937 | Γ: 1.763
[pure  ] Ep 0117 | EnvRet:   162.6 | Loss:  -153.306 | DR: 0.942 | Γ: 1.726
[touch ] Ep 0118 | EnvRet:   126.0 | Loss:   -54.011 | DR: 0.957 | Γ: 1.703
[brain ] Ep 0119 | EnvRet:   104.6 | Loss:   -55.607 | DR: 0.962 | Γ: 1.727
[fusion] Ep 0120 | EnvRet:   146.7 | Loss:   -33.360 | DR: 0.957 | Γ: 1.720
[pure  ] Ep 0121 | EnvRet:   129.0 | Loss:   -22.947 | DR: 0.966 | Γ: 1.686
[touch ] Ep 0122 | EnvRet:   105.7 | Loss:   -65.869 | DR: 0.929 | Γ: 1.626
[brain ] Ep 0123 | EnvRet:   146.7 | Loss:  -109.401 | DR: 0.961 | Γ: 1.697
[fusion] Ep 0124 | EnvRet:   168.8 | Loss:   -24.645 | DR: 0.951 | Γ: 1.690
[pure  ] Ep 0125 | EnvRet:   131.7 | Loss:   -55.327 | DR: 0.940 | Γ: 1.731
[touch ] Ep 0126 | EnvRet:   116.0 | Loss:   -30.079 | DR: 0.935 | Γ: 1.763
[brain ] Ep 0127 | EnvRet:   152.1 | Loss:  -101.558 | DR: 0.948 | Γ: 1.743
[fusion] Ep 0128 | EnvRet:   153.0 | Loss:    30.039 | DR: 0.936 | Γ: 1.675
[pure  ] Ep 0129 | EnvRet:   130.4 | Loss:   -69.759 | DR: 0.958 | Γ: 1.704
[touch ] Ep 0130 | EnvRet:   120.9 | Loss:   -47.282 | DR: 0.958 | Γ: 1.701
[brain ] Ep 0131 | EnvRet:    95.2 | Loss:   -30.943 | DR: 0.920 | Γ: 1.715
[fusion] Ep 0132 | EnvRet:   139.4 | Loss:   -82.085 | DR: 0.954 | Γ: 1.748
[pure  ] Ep 0133 | EnvRet:   185.9 | Loss:   -65.912 | DR: 0.939 | Γ: 1.715
[touch ] Ep 0134 | EnvRet:   167.3 | Loss:   -35.754 | DR: 0.959 | Γ: 1.754
[brain ] Ep 0135 | EnvRet:   116.3 | Loss:   -51.053 | DR: 0.931 | Γ: 1.701
[fusion] Ep 0136 | EnvRet:   142.6 | Loss:   -37.031 | DR: 0.942 | Γ: 1.729
[pure  ] Ep 0137 | EnvRet:    99.1 | Loss:   -37.954 | DR: 0.963 | Γ: 1.676
[touch ] Ep 0138 | EnvRet:   126.8 | Loss:   -46.029 | DR: 0.966 | Γ: 1.750
[brain ] Ep 0139 | EnvRet:   157.7 | Loss:   -30.873 | DR: 0.957 | Γ: 1.709
[fusion] Ep 0140 | EnvRet:   131.0 | Loss:   -58.500 | DR: 0.927 | Γ: 1.695
[pure  ] Ep 0141 | EnvRet:   101.8 | Loss:   -64.107 | DR: 0.956 | Γ: 1.731
[touch ] Ep 0142 | EnvRet:   151.9 | Loss:   -99.328 | DR: 0.942 | Γ: 1.737
[brain ] Ep 0143 | EnvRet:   149.6 | Loss:   -90.486 | DR: 0.925 | Γ: 1.731
[fusion] Ep 0144 | EnvRet:   123.4 | Loss:   -80.038 | DR: 0.929 | Γ: 1.693
[pure  ] Ep 0145 | EnvRet:   126.4 | Loss:  -122.201 | DR: 0.967 | Γ: 1.781
[touch ] Ep 0146 | EnvRet:   106.3 | Loss:   -50.660 | DR: 0.939 | Γ: 1.714
[brain ] Ep 0147 | EnvRet:   186.5 | Loss:   -51.101 | DR: 0.938 | Γ: 1.747
[fusion] Ep 0148 | EnvRet:   141.0 | Loss:    -7.363 | DR: 0.934 | Γ: 1.660
[pure  ] Ep 0149 | EnvRet:   144.0 | Loss:   -86.602 | DR: 0.933 | Γ: 1.679
[touch ] Ep 0150 | EnvRet:   171.8 | Loss:   -49.646 | DR: 0.964 | Γ: 1.707
[brain ] Ep 0151 | EnvRet:   190.9 | Loss:    -8.815 | DR: 0.935 | Γ: 1.758
[fusion] Ep 0152 | EnvRet:   145.6 | Loss:   -39.790 | DR: 0.935 | Γ: 1.695
   ↳ [Hydra] Ratchet: no improvement for 50 eps.
   ↳ Reverting all heads to best_state (Return=233.1)
[pure  ] Ep 0153 | EnvRet:   169.8 | Loss:   -42.854 | DR: 0.938 | Γ: 1.740
[touch ] Ep 0154 | EnvRet:   178.5 | Loss:  -112.711 | DR: 0.937 | Γ: 1.681
[brain ] Ep 0155 | EnvRet:   126.5 | Loss:   -51.421 | DR: 0.918 | Γ: 1.737
[fusion] Ep 0156 | EnvRet:   153.9 | Loss:   -44.479 | DR: 0.962 | Γ: 1.702
[pure  ] Ep 0157 | EnvRet:   126.8 | Loss:   -92.155 | DR: 0.928 | Γ: 1.775
