PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner ===
Ep 0103 | Return:     73.0 | Loss: -11441638.000 | DR: 0.938 | Γ: 1.813 | π: 0.465
Ep 0104 | Return:     99.7 | Loss: -20345338.000 | DR: 0.951 | Γ: 1.768 | π: 0.470
Ep 0105 | Return:    108.7 | Loss: -21281468.000 | DR: 0.948 | Γ: 1.662 | π: 0.471
Ep 0106 | Return:    100.7 | Loss: -20259100.000 | DR: 0.939 | Γ: 1.740 | π: 0.471
Ep 0107 | Return:     85.2 | Loss: -16873754.000 | DR: 0.921 | Γ: 1.826 | π: 0.467
Ep 0108 | Return:    100.9 | Loss: -20160444.000 | DR: 0.933 | Γ: 1.704 | π: 0.473
Ep 0109 | Return:    103.2 | Loss: -20165358.000 | DR: 0.961 | Γ: 1.691 | π: 0.472
Ep 0110 | Return:    103.8 | Loss: -21986320.000 | DR: 0.965 | Γ: 1.720 | π: 0.469
Ep 0111 | Return:     92.6 | Loss: -18145364.000 | DR: 0.943 | Γ: 1.700 | π: 0.470
Ep 0112 | Return:     81.6 | Loss: -15088660.000 | DR: 0.954 | Γ: 1.739 | π: 0.467
Ep 0113 | Return:    106.8 | Loss: -22572348.000 | DR: 0.930 | Γ: 1.752 | π: 0.469
Ep 0114 | Return:     99.9 | Loss: -22722924.000 | DR: 0.937 | Γ: 1.739 | π: 0.470
Ep 0115 | Return:    110.3 | Loss: -24218556.000 | DR: 0.944 | Γ: 1.685 | π: 0.469
Ep 0116 | Return:     82.9 | Loss: -17075986.000 | DR: 0.950 | Γ: 1.745 | π: 0.474
Ep 0117 | Return:     67.2 | Loss: -10559395.000 | DR: 0.961 | Γ: 1.741 | π: 0.465
Ep 0118 | Return:    101.9 | Loss: -22891136.000 | DR: 0.970 | Γ: 1.731 | π: 0.467
Ep 0119 | Return:    102.1 | Loss: -23671060.000 | DR: 0.939 | Γ: 1.771 | π: 0.466
Ep 0120 | Return:     95.5 | Loss: -22581612.000 | DR: 0.952 | Γ: 1.612 | π: 0.475
Ep 0121 | Return:     67.9 | Loss: -12061892.000 | DR: 0.957 | Γ: 1.762 | π: 0.465
Ep 0122 | Return:     99.3 | Loss: -23696140.000 | DR: 0.948 | Γ: 1.695 | π: 0.473
Ep 0123 | Return:     77.0 | Loss: -19938610.000 | DR: 0.944 | Γ: 1.699 | π: 0.472
Ep 0124 | Return:    100.3 | Loss: -25768438.000 | DR: 0.975 | Γ: 1.736 | π: 0.467
Ep 0125 | Return:    102.8 | Loss: -27240500.000 | DR: 0.915 | Γ: 1.747 | π: 0.469
Ep 0126 | Return:     73.0 | Loss: -16689211.000 | DR: 0.983 | Γ: 1.650 | π: 0.473
Ep 0127 | Return:     97.2 | Loss: -25492762.000 | DR: 0.960 | Γ: 1.747 | π: 0.468
Ep 0128 | Return:    104.5 | Loss: -28225844.000 | DR: 0.954 | Γ: 1.782 | π: 0.466
Ep 0129 | Return:     67.1 | Loss: -7914964.000 | DR: 0.932 | Γ: 1.675 | π: 0.475
Ep 0130 | Return:     99.8 | Loss: -27671796.000 | DR: 0.943 | Γ: 1.763 | π: 0.469
Ep 0131 | Return:    100.8 | Loss: -28100866.000 | DR: 0.954 | Γ: 1.793 | π: 0.464
Ep 0132 | Return:     96.4 | Loss: -26098736.000 | DR: 0.958 | Γ: 1.768 | π: 0.467
Ep 0133 | Return:     72.9 | Loss: -4920030.000 | DR: 0.961 | Γ: 1.735 | π: 0.465
Ep 0134 | Return:     78.2 | Loss: -22510432.000 | DR: 0.965 | Γ: 1.734 | π: 0.466
Ep 0135 | Return:    100.8 | Loss: -29379978.000 | DR: 0.967 | Γ: 1.697 | π: 0.469
Ep 0136 | Return:     99.1 | Loss: -28225100.000 | DR: 0.957 | Γ: 1.808 | π: 0.463
Ep 0137 | Return:    109.1 | Loss: -22025676.000 | DR: 0.930 | Γ: 1.759 | π: 0.471
Ep 0138 | Return:     76.6 | Loss: -23076148.000 | DR: 0.964 | Γ: 1.789 | π: 0.466
Ep 0139 | Return:     92.8 | Loss: -27205624.000 | DR: 0.948 | Γ: 1.773 | π: 0.467
Ep 0140 | Return:     99.9 | Loss: -30990314.000 | DR: 0.952 | Γ: 1.669 | π: 0.472
Ep 0141 | Return:     71.9 | Loss: -17153268.000 | DR: 0.952 | Γ: 1.743 | π: 0.467
Ep 0142 | Return:     91.7 | Loss: -27924084.000 | DR: 0.936 | Γ: 1.753 | π: 0.470
Ep 0143 | Return:    107.4 | Loss: -33143402.000 | DR: 0.934 | Γ: 1.697 | π: 0.473
Ep 0144 | Return:    106.7 | Loss: -30890846.000 | DR: 0.960 | Γ: 1.636 | π: 0.473
Ep 0145 | Return:     97.5 | Loss: -31267754.000 | DR: 0.955 | Γ: 1.643 | π: 0.473
Ep 0146 | Return:    100.0 | Loss: -32793122.000 | DR: 0.957 | Γ: 1.734 | π: 0.468
Ep 0147 | Return:     97.6 | Loss: -31926156.000 | DR: 0.944 | Γ: 1.705 | π: 0.473
Ep 0148 | Return:     94.9 | Loss: -31494218.000 | DR: 0.964 | Γ: 1.769 | π: 0.463
Ep 0149 | Return:     89.3 | Loss: -28049280.000 | DR: 0.937 | Γ: 1.669 | π: 0.475
Ep 0150 | Return:     96.1 | Loss: -32358622.000 | DR: 0.935 | Γ: 1.690 | π: 0.473
Ep 0151 | Return:     72.0 | Loss: -16608480.000 | DR: 0.952 | Γ: 1.672 | π: 0.472
Ep 0152 | Return:    100.3 | Loss: -34797260.000 | DR: 0.952 | Γ: 1.776 | π: 0.465
Ep 0153 | Return:     91.7 | Loss: -31079354.000 | DR: 0.946 | Γ: 1.676 | π: 0.473
Ep 0154 | Return:    100.1 | Loss: -35753484.000 | DR: 0.953 | Γ: 1.724 | π: 0.468
Ep 0155 | Return:     87.5 | Loss: -31370076.000 | DR: 0.952 | Γ: 1.707 | π: 0.469
Ep 0156 | Return:     99.4 | Loss: -36164776.000 | DR: 0.964 | Γ: 1.726 | π: 0.468
Ep 0157 | Return:     91.5 | Loss: -32890692.000 | DR: 0.949 | Γ: 1.687 | π: 0.473
Ep 0158 | Return:     96.0 | Loss: -35540352.000 | DR: 0.942 | Γ: 1.751 | π: 0.470
Ep 0159 | Return:     86.4 | Loss: -31509900.000 | DR: 0.962 | Γ: 1.740 | π: 0.471
Ep 0160 | Return:     99.4 | Loss: -37790404.000 | DR: 0.940 | Γ: 1.744 | π: 0.469
Ep 0161 | Return:    110.9 | Loss: -31578334.000 | DR: 0.942 | Γ: 1.715 | π: 0.470
Ep 0162 | Return:     95.7 | Loss: -37006364.000 | DR: 0.978 | Γ: 1.725 | π: 0.467
Ep 0163 | Return:    107.2 | Loss: -39437724.000 | DR: 0.981 | Γ: 1.748 | π: 0.469
Ep 0164 | Return:     97.2 | Loss: -38275672.000 | DR: 0.943 | Γ: 1.788 | π: 0.468
Ep 0165 | Return:     83.0 | Loss: -31234328.000 | DR: 0.945 | Γ: 1.737 | π: 0.468
Ep 0166 | Return:     90.4 | Loss: -34096064.000 | DR: 0.956 | Γ: 1.648 | π: 0.474
Ep 0167 | Return:     87.7 | Loss: -32465620.000 | DR: 0.930 | Γ: 1.657 | π: 0.475
Ep 0168 | Return:     89.5 | Loss: -36488588.000 | DR: 0.940 | Γ: 1.724 | π: 0.468
Ep 0169 | Return:     89.9 | Loss: -33779012.000 | DR: 0.919 | Γ: 1.647 | π: 0.479
Ep 0170 | Return:     97.1 | Loss: -39654800.000 | DR: 0.940 | Γ: 1.703 | π: 0.474
Ep 0171 | Return:     96.4 | Loss: -40121120.000 | DR: 0.928 | Γ: 1.649 | π: 0.476
Ep 0172 | Return:     82.9 | Loss: -33240356.000 | DR: 0.915 | Γ: 1.775 | π: 0.471
Ep 0173 | Return:     82.3 | Loss: -19850844.000 | DR: 0.947 | Γ: 1.716 | π: 0.468
Ep 0174 | Return:     86.9 | Loss: -36640976.000 | DR: 0.954 | Γ: 1.802 | π: 0.467
Ep 0175 | Return:     77.9 | Loss: -31613578.000 | DR: 0.955 | Γ: 1.742 | π: 0.470
Ep 0176 | Return:     88.7 | Loss: -38975784.000 | DR: 0.935 | Γ: 1.740 | π: 0.468
Ep 0177 | Return:     98.7 | Loss: -43666936.000 | DR: 0.947 | Γ: 1.684 | π: 0.471
Ep 0178 | Return:     89.0 | Loss: -33957136.000 | DR: 0.948 | Γ: 1.757 | π: 0.468
Ep 0179 | Return:     92.7 | Loss: -40916176.000 | DR: 0.948 | Γ: 1.743 | π: 0.469
Ep 0180 | Return:     94.7 | Loss: -42732184.000 | DR: 0.955 | Γ: 1.788 | π: 0.467
Ep 0181 | Return:     94.7 | Loss: -43503640.000 | DR: 0.924 | Γ: 1.742 | π: 0.472
Ep 0182 | Return:    101.1 | Loss: -46000380.000 | DR: 0.941 | Γ: 1.673 | π: 0.474
Ep 0183 | Return:     93.0 | Loss: -43770592.000 | DR: 0.939 | Γ: 1.801 | π: 0.466
Ep 0184 | Return:     87.4 | Loss: -39938664.000 | DR: 0.962 | Γ: 1.792 | π: 0.465
Ep 0185 | Return:     86.8 | Loss: -40642560.000 | DR: 0.962 | Γ: 1.759 | π: 0.466
Ep 0186 | Return:    102.2 | Loss: -48070032.000 | DR: 0.951 | Γ: 1.787 | π: 0.468
Ep 0187 | Return:    100.6 | Loss: -48132112.000 | DR: 0.952 | Γ: 1.703 | π: 0.471
Ep 0188 | Return:     94.8 | Loss: -45557640.000 | DR: 0.945 | Γ: 1.677 | π: 0.473
Ep 0189 | Return:    106.9 | Loss: -50858476.000 | DR: 0.962 | Γ: 1.696 | π: 0.471
Ep 0190 | Return:     88.4 | Loss: -40121904.000 | DR: 0.957 | Γ: 1.696 | π: 0.471
Ep 0191 | Return:    101.3 | Loss: -49274876.000 | DR: 0.943 | Γ: 1.756 | π: 0.469
Ep 0192 | Return:    103.4 | Loss: -52289188.000 | DR: 0.966 | Γ: 1.676 | π: 0.470
Ep 0193 | Return:     91.0 | Loss: -45731196.000 | DR: 0.971 | Γ: 1.729 | π: 0.467
Ep 0194 | Return:     91.5 | Loss: -46451552.000 | DR: 0.964 | Γ: 1.750 | π: 0.466
Ep 0195 | Return:     79.0 | Loss: -29634856.000 | DR: 0.954 | Γ: 1.649 | π: 0.474
