PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner_2.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner (with ratchet) ===
Ep 0001 | Return:    208.4 | Loss:      -1.280 | DR: 0.930 | Γ: 1.727 | π: 0.473
Ep 0072 | Return:    126.0 | Loss: -3096093.000 | DR: 0.937 | Γ: 1.698 | π: 0.471
Ep 0073 | Return:    129.5 | Loss: -3755296.500 | DR: 0.951 | Γ: 1.669 | π: 0.473
Ep 0074 | Return:    120.1 | Loss: -4486145.500 | DR: 0.953 | Γ: 1.708 | π: 0.470
Ep 0075 | Return:    122.7 | Loss: -3886039.750 | DR: 0.951 | Γ: 1.797 | π: 0.469
    ↳ Ratchet triggered at ep 75: no improvement for 25 eps. Reverting to best_return = 304.5
    ↳ New lr: 2.940e-04
Ep 0076 | Return:     90.5 | Loss:     -55.474 | DR: 0.942 | Γ: 1.736 | π: 0.467
Ep 0077 | Return:     98.6 | Loss:    -316.198 | DR: 0.961 | Γ: 1.715 | π: 0.470
Ep 0078 | Return:     94.7 | Loss:    -400.099 | DR: 0.934 | Γ: 1.683 | π: 0.476
Ep 0079 | Return:    117.2 | Loss:   -2142.894 | DR: 0.951 | Γ: 1.767 | π: 0.468
Ep 0080 | Return:    162.9 | Loss:  -17661.867 | DR: 0.938 | Γ: 1.789 | π: 0.469
Ep 0081 | Return:    125.4 | Loss:    7866.375 | DR: 0.967 | Γ: 1.689 | π: 0.471
Ep 0082 | Return:    109.3 | Loss:  -57911.547 | DR: 0.922 | Γ: 1.732 | π: 0.473
Ep 0083 | Return:    175.7 | Loss: -203610.328 | DR: 0.959 | Γ: 1.738 | π: 0.466
Ep 0084 | Return:    162.3 | Loss: -355531.438 | DR: 0.941 | Γ: 1.770 | π: 0.468
Ep 0085 | Return:    128.2 | Loss: -1926377.875 | DR: 0.940 | Γ: 1.670 | π: 0.475
Ep 0086 | Return:    115.1 | Loss: -983056.812 | DR: 0.961 | Γ: 1.752 | π: 0.469
Ep 0087 | Return:    104.7 | Loss: -270142.188 | DR: 0.955 | Γ: 1.697 | π: 0.469
Ep 0088 | Return:    131.9 | Loss: -1888928.500 | DR: 0.935 | Γ: 1.777 | π: 0.468
Ep 0089 | Return:    165.1 | Loss: -2616741.750 | DR: 0.947 | Γ: 1.717 | π: 0.470
Ep 0090 | Return:    131.4 | Loss: -3269520.750 | DR: 0.945 | Γ: 1.769 | π: 0.469
Ep 0091 | Return:    148.3 | Loss: -2553264.500 | DR: 0.962 | Γ: 1.747 | π: 0.468
Ep 0092 | Return:    107.1 | Loss: -2751839.000 | DR: 0.942 | Γ: 1.862 | π: 0.463
Ep 0093 | Return:    177.4 | Loss: -4309792.000 | DR: 0.952 | Γ: 1.730 | π: 0.467
Ep 0094 | Return:    247.8 | Loss: -129122.375 | DR: 0.959 | Γ: 1.740 | π: 0.470
Ep 0095 | Return:     95.4 | Loss: -3993062.500 | DR: 0.943 | Γ: 1.718 | π: 0.470
Ep 0096 | Return:    157.8 | Loss: -5516755.000 | DR: 0.948 | Γ: 1.749 | π: 0.469
Ep 0097 | Return:    107.7 | Loss: -4359180.000 | DR: 0.945 | Γ: 1.768 | π: 0.470
Ep 0098 | Return:    106.3 | Loss: -3834247.750 | DR: 0.937 | Γ: 1.647 | π: 0.476
Ep 0099 | Return:    142.5 | Loss: -5143555.000 | DR: 0.939 | Γ: 1.672 | π: 0.472
Ep 0100 | Return:     97.9 | Loss: -4769139.500 | DR: 0.950 | Γ: 1.748 | π: 0.466
    ↳ Ratchet triggered at ep 100: no improvement for 25 eps. Reverting to best_return = 304.5
    ↳ New lr: 2.911e-04
Ep 0101 | Return:    124.7 | Loss:     -65.161 | DR: 0.934 | Γ: 1.747 | π: 0.470
Ep 0102 | Return:    190.7 | Loss:    -521.434 | DR: 0.948 | Γ: 1.716 | π: 0.469
