PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\paper\Pirouette_Volume_6\doclab\experiments\Machine_Learning\fractal_mirror_learning> python wendigo_feather.py
================================================================================
WENDIGO GEODESIC SAC: Multi-Objective + Reverse Pareto + Geodesic Navigation
================================================================================

Warming up replay buffer with 10000 random steps...
Warmup complete. Starting training.

Ep 052: Score=364 | MeanDR=0.3606 | CohGain= 19.77 | Critical=153 | GeoMap=1146 | Explore=0.771 | Top15Avg=268.6 (best=364)
Ep 053: Score=180 | MeanDR=0.2357 | CohGain=  8.18 | Critical=98 | GeoMap=1149 | Explore=0.767 | Top15Avg=268.6 (best=364)
Ep 054: Score=118 | MeanDR=0.3186 | CohGain=  3.81 | Critical=68 | GeoMap=1165 | Explore=0.763 | Top15Avg=268.6 (best=364)
Ep 055: Score=209 | MeanDR=0.3235 | CohGain=  7.57 | Critical=105 | GeoMap=1183 | Explore=0.759 | Top15Avg=269.7 (best=364)
Ep 056: Score=173 | MeanDR=0.2645 | CohGain=  6.12 | Critical=95 | GeoMap=1183 | Explore=0.755 | Top15Avg=269.7 (best=364)
Ep 057: Score=243 | MeanDR=0.2536 | CohGain= 12.03 | Critical=115 | GeoMap=1198 | Explore=0.751 | Top15Avg=272.5 (best=364)
Ep 058: Score=238 | MeanDR=0.4740 | CohGain=  8.21 | Critical=113 | GeoMap=1246 | Explore=0.748 | Top15Avg=274.5 (best=364)
Ep 059: Score=330 | MeanDR=0.1834 | CohGain= 21.61 | Critical=173 | GeoMap=1249 | Explore=0.744 | Top15Avg=282.0 (best=364)
Ep 060: Score=213 | MeanDR=0.4110 | CohGain=  8.05 | Critical=108 | GeoMap=1268 | Explore=0.740 | Top15Avg=282.0 (best=364)
Ep 061: Score=206 | MeanDR=0.3234 | CohGain=  9.17 | Critical=104 | GeoMap=1277 | Explore=0.737 | Top15Avg=282.0 (best=364)
Ep 062: Score=298 | MeanDR=0.2204 | CohGain= 13.06 | Critical=149 | GeoMap=1299 | Explore=0.733 | Top15Avg=287.2 (best=364)
Ep 063: Score=162 | MeanDR=0.3473 | CohGain=  6.48 | Critical=90 | GeoMap=1308 | Explore=0.729 | Top15Avg=287.2 (best=364)
Ep 064: Score=232 | MeanDR=0.2611 | CohGain= 10.02 | Critical=116 | GeoMap=1310 | Explore=0.726 | Top15Avg=287.2 (best=364)
Ep 065: Score=173 | MeanDR=0.2858 | CohGain=  6.75 | Critical=89 | GeoMap=1318 | Explore=0.722 | Top15Avg=287.2 (best=364)
Ep 066: Score=160 | MeanDR=0.2261 | CohGain=  5.81 | Critical=83 | GeoMap=1334 | Explore=0.718 | Top15Avg=287.2 (best=364)
Ep 067: Score=181 | MeanDR=0.3418 | CohGain=  7.35 | Critical=94 | GeoMap=1338 | Explore=0.715 | Top15Avg=287.2 (best=364)
Ep 068: Score=334 | MeanDR=0.2350 | CohGain= 17.64 | Critical=158 | GeoMap=1347 | Explore=0.711 | Top15Avg=293.9 (best=364)
Ep 069: Score=310 | MeanDR=0.4327 | CohGain= 14.90 | Critical=165 | GeoMap=1408 | Explore=0.708 | Top15Avg=298.7 (best=364)
Ep 070: Score=397 | MeanDR=0.3694 | CohGain= 26.14 | Critical=202 | GeoMap=1484 | Explore=0.704 | Top15Avg=308.9 (best=397)
Ep 071: Score=424 | MeanDR=0.5048 | CohGain= 24.17 | Critical=220 | GeoMap=1591 | Explore=0.701 | Top15Avg=320.9 (best=424)
Ep 072: Score=333 | MeanDR=0.3190 | CohGain= 17.45 | Critical=147 | GeoMap=1611 | Explore=0.697 | Top15Avg=325.2 (best=424)
Ep 073: Score=145 | MeanDR=0.1771 | CohGain=  7.75 | Critical=80 | GeoMap=1619 | Explore=0.694 | Top15Avg=325.2 (best=424)
Ep 074: Score=190 | MeanDR=0.1725 | CohGain= 11.55 | Critical=104 | GeoMap=1632 | Explore=0.690 | Top15Avg=325.2 (best=424)
Ep 075: Score=160 | MeanDR=0.2803 | CohGain=  6.55 | Critical=78 | GeoMap=1656 | Explore=0.687 | Top15Avg=325.2 (best=424)
Ep 076: Score=111 | MeanDR=0.3784 | CohGain=  3.53 | Critical=61 | GeoMap=1686 | Explore=0.683 | Top15Avg=325.2 (best=424)
Ep 077: Score= 96 | MeanDR=0.3927 | CohGain=  2.58 | Critical=56 | GeoMap=1703 | Explore=0.680 | Top15Avg=325.2 (best=424)
Ep 078: Score=108 | MeanDR=0.3848 | CohGain=  2.93 | Critical=61 | GeoMap=1721 | Explore=0.676 | Top15Avg=325.2 (best=424)
Ep 079: Score=117 | MeanDR=0.3569 | CohGain=  3.73 | Critical=62 | GeoMap=1729 | Explore=0.673 | Top15Avg=325.2 (best=424)
Ep 080: Score=141 | MeanDR=0.2231 | CohGain=  6.87 | Critical=80 | GeoMap=1737 | Explore=0.670 | Top15Avg=325.2 (best=424)
Ep 081: Score=173 | MeanDR=0.3033 | CohGain=  7.34 | Critical=85 | GeoMap=1743 | Explore=0.666 | Top15Avg=325.2 (best=424)
Ep 082: Score=118 | MeanDR=0.2353 | CohGain=  5.17 | Critical=67 | GeoMap=1749 | Explore=0.663 | Top15Avg=325.2 (best=424)
Ep 083: Score=133 | MeanDR=0.3691 | CohGain=  4.63 | Critical=73 | GeoMap=1757 | Explore=0.660 | Top15Avg=325.2 (best=424)
Ep 084: Score=174 | MeanDR=0.3398 | CohGain=  6.80 | Critical=82 | GeoMap=1771 | Explore=0.656 | Top15Avg=325.2 (best=424)
Ep 085: Score=143 | MeanDR=0.3648 | CohGain=  4.93 | Critical=75 | GeoMap=1777 | Explore=0.653 | Top15Avg=325.2 (best=424)
Ep 086: Score=115 | MeanDR=0.2650 | CohGain=  4.56 | Critical=65 | GeoMap=1784 | Explore=0.650 | Top15Avg=325.2 (best=424)
Ep 087: Score=145 | MeanDR=0.2121 | CohGain=  6.93 | Critical=76 | GeoMap=1787 | Explore=0.647 | Top15Avg=325.2 (best=424)
Ep 088: Score=104 | MeanDR=0.2706 | CohGain=  3.34 | Critical=58 | GeoMap=1794 | Explore=0.643 | Top15Avg=325.2 (best=424)
Ep 089: Score=113 | MeanDR=0.2601 | CohGain=  4.54 | Critical=62 | GeoMap=1795 | Explore=0.640 | Top15Avg=325.2 (best=424)
Ep 090: Score=186 | MeanDR=0.3414 | CohGain=  8.24 | Critical=89 | GeoMap=1804 | Explore=0.637 | Top15Avg=325.2 (best=424)
Ep 091: Score=156 | MeanDR=0.4091 | CohGain=  5.36 | Critical=80 | GeoMap=1812 | Explore=0.634 | Top15Avg=325.2 (best=424)
Ep 092: Score=133 | MeanDR=0.2917 | CohGain=  4.67 | Critical=76 | GeoMap=1815 | Explore=0.631 | Top15Avg=325.2 (best=424)
Ep 093: Score=173 | MeanDR=0.3484 | CohGain=  6.06 | Critical=86 | GeoMap=1829 | Explore=0.627 | Top15Avg=325.2 (best=424)
Ep 094: Score=229 | MeanDR=0.3129 | CohGain=  8.22 | Critical=100 | GeoMap=1844 | Explore=0.624 | Top15Avg=325.2 (best=424)
Ep 095: Score=135 | MeanDR=0.2498 | CohGain=  5.80 | Critical=72 | GeoMap=1848 | Explore=0.621 | Top15Avg=325.2 (best=424)
Ep 096: Score=141 | MeanDR=0.2520 | CohGain=  5.34 | Critical=78 | GeoMap=1851 | Explore=0.618 | Top15Avg=325.2 (best=424)
Ep 097: Score=170 | MeanDR=0.3443 | CohGain=  7.07 | Critical=82 | GeoMap=1852 | Explore=0.615 | Top15Avg=325.2 (best=424)
Ep 098: Score=142 | MeanDR=0.2508 | CohGain=  6.41 | Critical=76 | GeoMap=1853 | Explore=0.612 | Top15Avg=325.2 (best=424)
Ep 099: Score=154 | MeanDR=0.2684 | CohGain=  5.61 | Critical=81 | GeoMap=1864 | Explore=0.609 | Top15Avg=325.2 (best=424)
Ep 100: Score=142 | MeanDR=0.3412 | CohGain=  6.17 | Critical=77 | GeoMap=1877 | Explore=0.606 | Top15Avg=325.2 (best=424)
Ep 101: Score=131 | MeanDR=0.2738 | CohGain=  5.60 | Critical=64 | GeoMap=1885 | Explore=0.603 | Top15Avg=325.2 (best=424)
Ep 102: Score=106 | MeanDR=0.3130 | CohGain=  5.15 | Critical=64 | GeoMap=1888 | Explore=0.600 | Top15Avg=325.2 (best=424)
Ep 103: Score=182 | MeanDR=0.2419 | CohGain=  9.79 | Critical=93 | GeoMap=1911 | Explore=0.597 | Top15Avg=325.2 (best=424)
Ep 104: Score=146 | MeanDR=0.2397 | CohGain=  6.42 | Critical=78 | GeoMap=1918 | Explore=0.594 | Top15Avg=325.2 (best=424)
Ep 105: Score=169 | MeanDR=0.2040 | CohGain=  8.73 | Critical=89 | GeoMap=1921 | Explore=0.591 | Top15Avg=325.2 (best=424)
Ep 106: Score=217 | MeanDR=0.2223 | CohGain=  8.48 | Critical=105 | GeoMap=1929 | Explore=0.588 | Top15Avg=325.2 (best=424)
Ep 107: Score=165 | MeanDR=0.2114 | CohGain=  8.31 | Critical=86 | GeoMap=1934 | Explore=0.585 | Top15Avg=325.2 (best=424)
Ep 108: Score=103 | MeanDR=0.4113 | CohGain=  4.49 | Critical=59 | GeoMap=1950 | Explore=0.582 | Top15Avg=325.2 (best=424)
Ep 109: Score= 86 | MeanDR=0.3205 | CohGain=  3.49 | Critical=54 | GeoMap=1958 | Explore=0.579 | Top15Avg=325.2 (best=424)
Ep 110: Score=101 | MeanDR=0.3005 | CohGain=  3.56 | Critical=56 | GeoMap=1963 | Explore=0.576 | Top15Avg=325.2 (best=424)
Ep 111: Score=102 | MeanDR=0.2550 | CohGain=  5.08 | Critical=59 | GeoMap=1967 | Explore=0.573 | Top15Avg=325.2 (best=424)
Ep 112: Score=111 | MeanDR=0.3395 | CohGain=  4.72 | Critical=60 | GeoMap=1989 | Explore=0.570 | Top15Avg=325.2 (best=424)
Ep 113: Score= 88 | MeanDR=0.2819 | CohGain=  3.70 | Critical=54 | GeoMap=2003 | Explore=0.568 | Top15Avg=325.2 (best=424)
Ep 114: Score=105 | MeanDR=0.2750 | CohGain=  4.09 | Critical=56 | GeoMap=2016 | Explore=0.565 | Top15Avg=325.2 (best=424)
Ep 115: Score= 97 | MeanDR=0.2920 | CohGain=  3.23 | Critical=56 | GeoMap=2018 | Explore=0.562 | Top15Avg=325.2 (best=424)
Ep 116: Score=191 | MeanDR=0.1671 | CohGain=  9.95 | Critical=100 | GeoMap=2023 | Explore=0.559 | Top15Avg=325.2 (best=424)
Ep 117: Score=121 | MeanDR=0.2238 | CohGain=  5.90 | Critical=65 | GeoMap=2028 | Explore=0.556 | Top15Avg=325.2 (best=424)
Ep 118: Score=123 | MeanDR=0.3245 | CohGain=  4.61 | Critical=63 | GeoMap=2045 | Explore=0.554 | Top15Avg=325.2 (best=424)
Ep 119: Score= 78 | MeanDR=0.3061 | CohGain=  2.43 | Critical=45 | GeoMap=2053 | Explore=0.551 | Top15Avg=325.2 (best=424)
Ep 120: Score=104 | MeanDR=0.2503 | CohGain=  3.63 | Critical=55 | GeoMap=2061 | Explore=0.548 | Top15Avg=325.2 (best=424)
Ep 121: Score= 75 | MeanDR=0.2864 | CohGain=  2.52 | Critical=44 | GeoMap=2068 | Explore=0.545 | Top15Avg=325.2 (best=424)
Ep 122: Score=135 | MeanDR=0.2102 | CohGain=  8.32 | Critical=74 | GeoMap=2081 | Explore=0.543 | Top15Avg=325.2 (best=424)
Ep 123: Score= 78 | MeanDR=0.2835 | CohGain=  3.39 | Critical=46 | GeoMap=2086 | Explore=0.540 | Top15Avg=325.2 (best=424)
Ep 124: Score=135 | MeanDR=0.2174 | CohGain=  7.51 | Critical=69 | GeoMap=2101 | Explore=0.537 | Top15Avg=325.2 (best=424)
Ep 125: Score=169 | MeanDR=0.1522 | CohGain=  9.88 | Critical=86 | GeoMap=2109 | Explore=0.534 | Top15Avg=325.2 (best=424)
Ep 126: Score= 80 | MeanDR=0.2487 | CohGain=  2.56 | Critical=45 | GeoMap=2110 | Explore=0.532 | Top15Avg=325.2 (best=424)
Ep 127: Score= 64 | MeanDR=0.2933 | CohGain=  2.15 | Critical=38 | GeoMap=2121 | Explore=0.529 | Top15Avg=325.2 (best=424)
Ep 128: Score= 55 | MeanDR=0.2803 | CohGain=  1.79 | Critical=33 | GeoMap=2126 | Explore=0.526 | Top15Avg=325.2 (best=424)
Ep 129: Score=143 | MeanDR=0.1939 | CohGain=  8.87 | Critical=79 | GeoMap=2129 | Explore=0.524 | Top15Avg=325.2 (best=424)
Ep 130: Score= 80 | MeanDR=0.2658 | CohGain=  3.62 | Critical=46 | GeoMap=2133 | Explore=0.521 | Top15Avg=325.2 (best=424)
Ep 131: Score=136 | MeanDR=0.2013 | CohGain=  8.39 | Critical=70 | GeoMap=2139 | Explore=0.519 | Top15Avg=325.2 (best=424)
Ep 132: Score= 62 | MeanDR=0.2941 | CohGain=  2.30 | Critical=38 | GeoMap=2146 | Explore=0.516 | Top15Avg=325.2 (best=424)
Ep 133: Score=119 | MeanDR=0.2132 | CohGain=  6.51 | Critical=65 | GeoMap=2148 | Explore=0.513 | Top15Avg=325.2 (best=424)
Ep 134: Score= 73 | MeanDR=0.2655 | CohGain=  3.03 | Critical=41 | GeoMap=2152 | Explore=0.511 | Top15Avg=325.2 (best=424)
Ep 135: Score= 41 | MeanDR=0.3396 | CohGain=  1.18 | Critical=27 | GeoMap=2155 | Explore=0.508 | Top15Avg=325.2 (best=424)
Ep 136: Score= 97 | MeanDR=0.2567 | CohGain=  5.64 | Critical=56 | GeoMap=2162 | Explore=0.506 | Top15Avg=325.2 (best=424)
Ep 137: Score=194 | MeanDR=0.1833 | CohGain= 14.18 | Critical=100 | GeoMap=2165 | Explore=0.503 | Top15Avg=325.2 (best=424)
Ep 138: Score=116 | MeanDR=0.2774 | CohGain=  5.33 | Critical=62 | GeoMap=2172 | Explore=0.501 | Top15Avg=325.2 (best=424)
Ep 139: Score= 71 | MeanDR=0.2474 | CohGain=  2.50 | Critical=41 | GeoMap=2174 | Explore=0.498 | Top15Avg=325.2 (best=424)
Ep 140: Score=110 | MeanDR=0.2050 | CohGain=  5.40 | Critical=58 | GeoMap=2176 | Explore=0.496 | Top15Avg=325.2 (best=424)
Ep 141: Score=110 | MeanDR=0.1890 | CohGain=  4.28 | Critical=58 | GeoMap=2177 | Explore=0.493 | Top15Avg=325.2 (best=424)
Ep 142: Score= 92 | MeanDR=0.2571 | CohGain=  3.12 | Critical=52 | GeoMap=2181 | Explore=0.491 | Top15Avg=325.2 (best=424)
Ep 143: Score= 90 | MeanDR=0.2252 | CohGain=  3.70 | Critical=50 | GeoMap=2181 | Explore=0.488 | Top15Avg=325.2 (best=424)
Ep 144: Score=175 | MeanDR=0.1682 | CohGain=  7.73 | Critical=89 | GeoMap=2186 | Explore=0.486 | Top15Avg=325.2 (best=424)
Ep 145: Score=325 | MeanDR=0.1854 | CohGain= 19.17 | Critical=159 | GeoMap=2213 | Explore=0.483 | Top15Avg=328.5 (best=424)
Ep 146: Score=154 | MeanDR=0.1526 | CohGain=  5.79 | Critical=87 | GeoMap=2216 | Explore=0.481 | Top15Avg=328.5 (best=424)
Ep 147: Score=142 | MeanDR=0.3532 | CohGain=  9.14 | Critical=75 | GeoMap=2255 | Explore=0.479 | Top15Avg=328.5 (best=424)
Ep 148: Score=142 | MeanDR=0.1676 | CohGain=  8.39 | Critical=76 | GeoMap=2260 | Explore=0.476 | Top15Avg=328.5 (best=424)
Ep 149: Score=183 | MeanDR=0.2819 | CohGain= 12.54 | Critical=98 | GeoMap=2295 | Explore=0.474 | Top15Avg=328.5 (best=424)
