PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum.py
[Pendulum] Ep 0106 | R_raw=-1412.31 | len=200 | loss=0.023
[Pendulum] Ep 0107 | R_raw=-1583.69 | len=200 | loss=-0.001
[Pendulum] Ep 0108 | R_raw=-1762.68 | len=200 | loss=0.004
[Pendulum] Ep 0109 | R_raw=-1302.72 | len=200 | loss=0.052
[Pendulum] Ep 0110 | R_raw=-1183.13 | len=200 | loss=0.049
[Pendulum] Ep 0111 | R_raw=-891.91 | len=200 | loss=-0.088
[Pendulum] Ep 0112 | R_raw=-1073.61 | len=200 | loss=-0.040
[Pendulum] Ep 0113 | R_raw=-1154.97 | len=200 | loss=-0.007
[Pendulum] Ep 0114 | R_raw=-934.81 | len=200 | loss=0.018
[Pendulum] Ep 0115 | R_raw=-890.05 | len=200 | loss=-0.015
[Pendulum] Ep 0116 | R_raw=-954.17 | len=200 | loss=0.032
[Pendulum] Ep 0117 | R_raw=-854.90 | len=200 | loss=-0.085
[Pendulum] Ep 0118 | R_raw=-1643.07 | len=200 | loss=-0.044
[Pendulum] Ep 0119 | R_raw=-1619.13 | len=200 | loss=-0.059
[Pendulum] Ep 0120 | R_raw=-1511.10 | len=200 | loss=0.048
[Pendulum] Ep 0121 | R_raw=-926.65 | len=200 | loss=-0.040
[Pendulum] Ep 0122 | R_raw=-1456.79 | len=200 | loss=-0.036
[Pendulum] Ep 0123 | R_raw=-824.37 | len=200 | loss=-0.010
[Pendulum] Ep 0124 | R_raw=-1356.77 | len=200 | loss=-0.019
[Pendulum] Ep 0125 | R_raw=-1251.30 | len=200 | loss=-0.047
[Pendulum] Ep 0126 | R_raw=-908.83 | len=200 | loss=0.127
[Pendulum] Ep 0127 | R_raw=-1377.68 | len=200 | loss=0.077
[Pendulum] Ep 0128 | R_raw=-1744.89 | len=200 | loss=0.018
[Pendulum] Ep 0129 | R_raw=-1070.12 | len=200 | loss=-0.042
[Pendulum] Ep 0130 | R_raw=-1228.79 | len=200 | loss=0.012
[Pendulum] Ep 0131 | R_raw=-1259.96 | len=200 | loss=-0.144
[Pendulum] Ep 0132 | R_raw=-1056.50 | len=200 | loss=-0.004
[Pendulum] Ep 0133 | R_raw=-1292.34 | len=200 | loss=-0.039
[Pendulum] Ep 0134 | R_raw=-1156.74 | len=200 | loss=-0.065
[Pendulum] Ep 0135 | R_raw=-1258.78 | len=200 | loss=0.049
[Pendulum] Ep 0136 | R_raw=-1192.58 | len=200 | loss=0.038
[Pendulum] Ep 0137 | R_raw=-928.66 | len=200 | loss=0.045
