PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi.py
[Pendulum-v1] Ep 0250 | R=-1397.58 | len=200 | loss=0.129
[Pendulum-v1] Ep 0251 | R=-1667.16 | len=200 | loss=-0.071
[Pendulum-v1] Ep 0252 | R=-1503.00 | len=200 | loss=0.122
[Pendulum-v1] Ep 0253 | R=-1493.47 | len=200 | loss=0.076
[Pendulum-v1] Ep 0254 | R=-1697.74 | len=200 | loss=0.088
[Pendulum-v1] Ep 0255 | R=-1602.79 | len=200 | loss=0.112
[Pendulum-v1] Ep 0256 | R=-1720.13 | len=200 | loss=0.006
[Pendulum-v1] Ep 0257 | R=-1574.99 | len=200 | loss=0.208
[Pendulum-v1] Ep 0258 | R=-1669.57 | len=200 | loss=0.037
[Pendulum-v1] Ep 0259 | R=-1650.21 | len=200 | loss=-0.010
[Pendulum-v1] Ep 0260 | R=-1607.64 | len=200 | loss=0.061
[Pendulum-v1] Ep 0261 | R=-1605.46 | len=200 | loss=-0.065
[Pendulum-v1] Ep 0262 | R=-1608.88 | len=200 | loss=0.026
[Pendulum-v1] Ep 0263 | R=-1451.14 | len=200 | loss=0.093
[Pendulum-v1] Ep 0264 | R=-1577.64 | len=200 | loss=-0.053
[Pendulum-v1] Ep 0265 | R=-1485.53 | len=200 | loss=0.133
[Pendulum-v1] Ep 0266 | R=-1585.84 | len=200 | loss=0.033
[Pendulum-v1] Ep 0267 | R=-1582.47 | len=200 | loss=-0.022
[Pendulum-v1] Ep 0268 | R=-1618.63 | len=200 | loss=0.084
[Pendulum-v1] Ep 0269 | R=-1510.85 | len=200 | loss=0.142
[Pendulum-v1] Ep 0270 | R=-1636.83 | len=200 | loss=0.060
[Pendulum-v1] Ep 0271 | R=-1495.01 | len=200 | loss=-0.037
[Pendulum-v1] Ep 0272 | R=-1502.51 | len=200 | loss=0.172
[Pendulum-v1] Ep 0273 | R=-1577.46 | len=200 | loss=0.057
[Pendulum-v1] Ep 0274 | R=-1367.89 | len=200 | loss=0.056
[Pendulum-v1] Ep 0275 | R=-1710.38 | len=200 | loss=0.327
[Pendulum-v1] Ep 0276 | R=-1476.89 | len=200 | loss=0.087
[Pendulum-v1] Ep 0277 | R=-1673.27 | len=200 | loss=-0.028
[Pendulum-v1] Ep 0278 | R=-1537.83 | len=200 | loss=-0.072
[Pendulum-v1] Ep 0279 | R=-1718.99 | len=200 | loss=0.262
[Pendulum-v1] Ep 0280 | R=-1539.11 | len=200 | loss=0.057
[Pendulum-v1] Ep 0281 | R=-1452.87 | len=200 | loss=0.129
[Pendulum-v1] Ep 0282 | R=-1520.62 | len=200 | loss=-0.055
[Pendulum-v1] Ep 0283 | R=-1519.70 | len=200 | loss=0.021
[Pendulum-v1] Ep 0284 | R=-1662.21 | len=200 | loss=0.111
[Pendulum-v1] Ep 0285 | R=-1391.04 | len=200 | loss=-0.055
[Pendulum-v1] Ep 0286 | R=-1418.82 | len=200 | loss=-0.023
[Pendulum-v1] Ep 0287 | R=-1628.63 | len=200 | loss=0.084
[Pendulum-v1] Ep 0288 | R=-1749.40 | len=200 | loss=-0.108
[Pendulum-v1] Ep 0289 | R=-1721.25 | len=200 | loss=-0.017
[Pendulum-v1] Ep 0290 | R=-1334.38 | len=200 | loss=0.014
[Pendulum-v1] Ep 0291 | R=-1254.34 | len=200 | loss=-0.055
[Pendulum-v1] Ep 0292 | R=-1357.27 | len=200 | loss=0.142
[Pendulum-v1] Ep 0293 | R=-1578.56 | len=200 | loss=-0.037
[Pendulum-v1] Ep 0294 | R=-1359.68 | len=200 | loss=0.069
[Pendulum-v1] Ep 0295 | R=-1240.75 | len=200 | loss=-0.071
[Pendulum-v1] Ep 0296 | R=-1470.70 | len=200 | loss=-0.047
[Pendulum-v1] Ep 0297 | R=-1596.99 | len=200 | loss=-0.007
[Pendulum-v1] Ep 0298 | R=-1448.71 | len=200 | loss=-0.137
[Pendulum-v1] Ep 0299 | R=-1367.07 | len=200 | loss=0.125
