PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi_2.py
[CartPole-v1] Ep 0122 | R_raw=  97.00 | len= 97 | loss=-0.001
[CartPole-v1] Ep 0123 | R_raw= 127.00 | len=127 | loss=-0.019
[CartPole-v1] Ep 0124 | R_raw= 108.00 | len=108 | loss=-0.065
[CartPole-v1] Ep 0125 | R_raw= 155.00 | len=155 | loss=0.046
[CartPole-v1] Ep 0126 | R_raw= 143.00 | len=143 | loss=0.007
[CartPole-v1] Ep 0127 | R_raw= 161.00 | len=161 | loss=0.014
[CartPole-v1] Ep 0128 | R_raw= 240.00 | len=240 | loss=-0.022
[CartPole-v1] Ep 0129 | R_raw= 164.00 | len=164 | loss=0.002
[CartPole-v1] Ep 0130 | R_raw= 156.00 | len=156 | loss=0.007
[CartPole-v1] Ep 0131 | R_raw= 118.00 | len=118 | loss=0.005
[CartPole-v1] Ep 0132 | R_raw= 139.00 | len=139 | loss=0.035
[CartPole-v1] Ep 0133 | R_raw= 120.00 | len=120 | loss=0.045
[CartPole-v1] Ep 0134 | R_raw= 147.00 | len=147 | loss=-0.007
[CartPole-v1] Ep 0135 | R_raw= 134.00 | len=134 | loss=-0.016
[CartPole-v1] Ep 0136 | R_raw= 150.00 | len=150 | loss=-0.017
[CartPole-v1] Ep 0137 | R_raw= 105.00 | len=105 | loss=-0.111
[CartPole-v1] Ep 0138 | R_raw= 173.00 | len=173 | loss=0.021
[CartPole-v1] Ep 0139 | R_raw= 133.00 | len=133 | loss=0.068
[CartPole-v1] Ep 0140 | R_raw= 164.00 | len=164 | loss=0.019
[CartPole-v1] Ep 0141 | R_raw= 154.00 | len=154 | loss=-0.044
[CartPole-v1] Ep 0142 | R_raw= 196.00 | len=196 | loss=-0.021
[CartPole-v1] Ep 0143 | R_raw= 160.00 | len=160 | loss=-0.056
[CartPole-v1] Ep 0144 | R_raw= 217.00 | len=217 | loss=0.023
[CartPole-v1] Ep 0145 | R_raw= 191.00 | len=191 | loss=-0.040
[CartPole-v1] Ep 0146 | R_raw= 241.00 | len=241 | loss=0.007
[CartPole-v1] Ep 0147 | R_raw= 270.00 | len=270 | loss=0.002
[CartPole-v1] Ep 0148 | R_raw= 255.00 | len=255 | loss=0.041
[CartPole-v1] Ep 0149 | R_raw= 220.00 | len=220 | loss=0.019
[CartPole-v1] Ep 0150 | R_raw= 269.00 | len=269 | loss=0.003
[CartPole-v1] Ep 0151 | R_raw= 327.00 | len=327 | loss=-0.030
[CartPole-v1] Ep 0152 | R_raw= 223.00 | len=223 | loss=-0.049
[CartPole-v1] Ep 0153 | R_raw= 248.00 | len=248 | loss=0.023
[CartPole-v1] Ep 0154 | R_raw= 264.00 | len=264 | loss=0.008
[CartPole-v1] Ep 0155 | R_raw= 276.00 | len=276 | loss=-0.033
[CartPole-v1] Ep 0156 | R_raw= 211.00 | len=211 | loss=0.004
[CartPole-v1] Ep 0157 | R_raw= 263.00 | len=263 | loss=0.038
[CartPole-v1] Ep 0158 | R_raw= 252.00 | len=252 | loss=-0.024
[CartPole-v1] Ep 0159 | R_raw= 271.00 | len=271 | loss=0.046
[CartPole-v1] Ep 0160 | R_raw= 288.00 | len=288 | loss=0.001
[CartPole-v1] Ep 0161 | R_raw= 357.00 | len=357 | loss=0.015
[CartPole-v1] Ep 0162 | R_raw= 499.00 | len=499 | loss=-0.011
[CartPole-v1] Ep 0163 | R_raw= 500.00 | len=500 | loss=0.002
[CartPole-v1] Ep 0164 | R_raw= 500.00 | len=500 | loss=0.010
>>> Quota snapshot 0 saved to ./skogsvatt_quota\CartPole-v1_quota_0_ep0164_R500.pth
[CartPole-v1] Ep 0165 | R_raw= 500.00 | len=500 | loss=-0.015
[CartPole-v1] Ep 0166 | R_raw= 500.00 | len=500 | loss=-0.016
[CartPole-v1] Ep 0167 | R_raw= 500.00 | len=500 | loss=0.004
>>> Quota snapshot 1 saved to ./skogsvatt_quota\CartPole-v1_quota_1_ep0167_R500.pth
[CartPole-v1] Ep 0168 | R_raw= 500.00 | len=500 | loss=0.002
[CartPole-v1] Ep 0169 | R_raw= 500.00 | len=500 | loss=0.026
[CartPole-v1] Ep 0170 | R_raw= 500.00 | len=500 | loss=-0.022
>>> Quota snapshot 2 saved to ./skogsvatt_quota\CartPole-v1_quota_2_ep0170_R500.pth
[CartPole-v1] Ep 0171 | R_raw= 500.00 | len=500 | loss=0.011
[CartPole-v1] Ep 0172 | R_raw= 500.00 | len=500 | loss=-0.056
[CartPole-v1] Ep 0173 | R_raw= 500.00 | len=500 | loss=0.001
>>> Quota snapshot 3 saved to ./skogsvatt_quota\CartPole-v1_quota_3_ep0173_R500.pth
[CartPole-v1] Ep 0174 | R_raw= 500.00 | len=500 | loss=0.018
[CartPole-v1] Ep 0175 | R_raw= 500.00 | len=500 | loss=0.006
[CartPole-v1] Ep 0176 | R_raw= 500.00 | len=500 | loss=-0.000
>>> Quota snapshot 4 saved to ./skogsvatt_quota\CartPole-v1_quota_4_ep0176_R500.pth
>>> Quota filled, stopping training.
PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi_2.py
[Pendulum-v1] Ep 0001 | R_raw=-1324.59 | len=200 | loss=0.025
[Pendulum-v1] Ep 0002 | R_raw=-1173.65 | len=200 | loss=0.129
[Pendulum-v1] Ep 0003 | R_raw=-978.97 | len=200 | loss=-0.069
[Pendulum-v1] Ep 0004 | R_raw=-1084.52 | len=200 | loss=-0.007
[Pendulum-v1] Ep 0005 | R_raw=-1208.66 | len=200 | loss=0.087
[Pendulum-v1] Ep 0006 | R_raw=-909.44 | len=200 | loss=0.029
[Pendulum-v1] Ep 0007 | R_raw=-1140.05 | len=200 | loss=0.026
[Pendulum-v1] Ep 0008 | R_raw=-1399.63 | len=200 | loss=-0.019
[Pendulum-v1] Ep 0009 | R_raw=-1052.29 | len=200 | loss=-0.207
[Pendulum-v1] Ep 0010 | R_raw=-1172.53 | len=200 | loss=-0.128
[Pendulum-v1] Ep 0011 | R_raw=-1252.33 | len=200 | loss=-0.024
[Pendulum-v1] Ep 0012 | R_raw=-1265.67 | len=200 | loss=-0.140
[Pendulum-v1] Ep 0013 | R_raw=-1163.91 | len=200 | loss=-0.159
[Pendulum-v1] Ep 0014 | R_raw=-1285.03 | len=200 | loss=-0.220
[Pendulum-v1] Ep 0015 | R_raw=-1202.10 | len=200 | loss=-0.241
[Pendulum-v1] Ep 0016 | R_raw=-1169.16 | len=200 | loss=0.009
[Pendulum-v1] Ep 0017 | R_raw=-1130.80 | len=200 | loss=-0.017
[Pendulum-v1] Ep 0018 | R_raw=-1327.92 | len=200 | loss=-0.195
[Pendulum-v1] Ep 0019 | R_raw=-1276.54 | len=200 | loss=-0.225
[Pendulum-v1] Ep 0020 | R_raw=-1297.04 | len=200 | loss=-0.059
[Pendulum-v1] Ep 0021 | R_raw=-1363.13 | len=200 | loss=-0.018
[Pendulum-v1] Ep 0022 | R_raw=-1345.76 | len=200 | loss=-0.076
[Pendulum-v1] Ep 0023 | R_raw=-1370.03 | len=200 | loss=0.135
[Pendulum-v1] Ep 0024 | R_raw=-1182.70 | len=200 | loss=-0.086
[Pendulum-v1] Ep 0025 | R_raw=-1159.16 | len=200 | loss=-0.086
[Pendulum-v1] Ep 0026 | R_raw=-1201.72 | len=200 | loss=0.042
[Pendulum-v1] Ep 0027 | R_raw=-1388.79 | len=200 | loss=0.026
[Pendulum-v1] Ep 0028 | R_raw=-1156.65 | len=200 | loss=-0.106
[Pendulum-v1] Ep 0029 | R_raw=-1192.14 | len=200 | loss=0.063
