PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_cartpole.py
Ep 0150 | R= 208 | len=208 | loss=-0.019
Ep 0151 | R= 153 | len=153 | loss=-0.039
Ep 0152 | R= 224 | len=224 | loss=-0.001
Ep 0153 | R= 143 | len=143 | loss=-0.013
Ep 0154 | R= 125 | len=125 | loss=-0.033
Ep 0155 | R= 175 | len=175 | loss=-0.040
Ep 0156 | R= 143 | len=143 | loss=-0.113
Ep 0157 | R= 238 | len=238 | loss=0.003
Ep 0158 | R= 234 | len=234 | loss=-0.027
Ep 0159 | R= 414 | len=414 | loss=-0.014
Ep 0160 | R= 500 | len=500 | loss=-0.014
Ep 0161 | R= 500 | len=500 | loss=-0.017
Ep 0162 | R= 500 | len=500 | loss=0.005
Ep 0163 | R= 500 | len=500 | loss=-0.013
Ep 0164 | R= 407 | len=407 | loss=0.010
Ep 0165 | R= 500 | len=500 | loss=0.016
Ep 0166 | R= 379 | len=379 | loss=-0.026
Ep 0167 | R= 371 | len=371 | loss=-0.044
Ep 0168 | R= 378 | len=378 | loss=-0.004
Ep 0169 | R= 261 | len=261 | loss=-0.007
Ep 0170 | R= 500 | len=500 | loss=-0.009
Ep 0171 | R= 500 | len=500 | loss=0.002
Ep 0172 | R= 500 | len=500 | loss=-0.027
Ep 0173 | R= 500 | len=500 | loss=0.005
Ep 0174 | R= 367 | len=367 | loss=-0.050
Ep 0175 | R= 500 | len=500 | loss=0.023
Ep 0176 | R= 500 | len=500 | loss=-0.001
Ep 0177 | R= 136 | len=136 | loss=-0.036
Ep 0178 | R= 447 | len=447 | loss=-0.001
Ep 0179 | R= 500 | len=500 | loss=-0.002
Ep 0180 | R= 500 | len=500 | loss=-0.033
Ep 0181 | R= 500 | len=500 | loss=-0.010
Ep 0182 | R= 500 | len=500 | loss=0.007
Ep 0183 | R= 500 | len=500 | loss=0.010
Ep 0184 | R= 500 | len=500 | loss=-0.006
Ep 0185 | R= 500 | len=500 | loss=-0.015
Ep 0186 | R= 246 | len=246 | loss=-0.041
Ep 0187 | R= 500 | len=500 | loss=-0.008
Ep 0188 | R= 242 | len=242 | loss=-0.044
Ep 0189 | R= 500 | len=500 | loss=-0.007
Ep 0190 | R= 500 | len=500 | loss=-0.008
Ep 0191 | R= 500 | len=500 | loss=0.005
Ep 0192 | R= 500 | len=500 | loss=0.004
Ep 0193 | R= 500 | len=500 | loss=0.006
Ep 0194 | R= 500 | len=500 | loss=-0.002
Ep 0195 | R= 500 | len=500 | loss=-0.008
Ep 0196 | R= 391 | len=391 | loss=-0.074
Ep 0197 | R= 500 | len=500 | loss=0.008
Ep 0198 | R= 500 | len=500 | loss=-0.013
Ep 0199 | R= 500 | len=500 | loss=0.008
Ep 0200 | R= 500 | len=500 | loss=0.015
Ep 0201 | R= 500 | len=500 | loss=0.008
Ep 0202 | R= 500 | len=500 | loss=-0.006
Ep 0203 | R= 500 | len=500 | loss=-0.035
Ep 0204 | R= 500 | len=500 | loss=-0.026
Ep 0205 | R= 500 | len=500 | loss=-0.026
Ep 0206 | R= 500 | len=500 | loss=0.012
Ep 0207 | R= 500 | len=500 | loss=0.010
Ep 0208 | R= 500 | len=500 | loss=-0.007
Ep 0209 | R= 500 | len=500 | loss=0.003
Ep 0210 | R= 500 | len=500 | loss=0.005
Ep 0211 | R= 500 | len=500 | loss=-0.011
Ep 0212 | R= 500 | len=500 | loss=0.014
Ep 0213 | R= 500 | len=500 | loss=0.019
Ep 0214 | R= 500 | len=500 | loss=-0.015
Ep 0215 | R= 500 | len=500 | loss=0.001
Ep 0216 | R= 500 | len=500 | loss=0.010
Ep 0217 | R= 500 | len=500 | loss=-0.007
Ep 0218 | R= 500 | len=500 | loss=0.019
Ep 0219 | R= 500 | len=500 | loss=-0.004
Ep 0220 | R= 500 | len=500 | loss=-0.018
Ep 0221 | R= 500 | len=500 | loss=-0.017
Ep 0222 | R= 500 | len=500 | loss=0.020
Ep 0223 | R= 500 | len=500 | loss=-0.011
Ep 0224 | R= 311 | len=311 | loss=-0.045
Ep 0225 | R= 500 | len=500 | loss=0.005
Ep 0226 | R= 500 | len=500 | loss=-0.009
Ep 0227 | R= 500 | len=500 | loss=0.001
Ep 0228 | R= 500 | len=500 | loss=0.016
Ep 0229 | R= 500 | len=500 | loss=-0.014
Ep 0230 | R= 500 | len=500 | loss=0.013
Ep 0231 | R= 423 | len=423 | loss=-0.025
Ep 0232 | R= 500 | len=500 | loss=-0.018
Ep 0233 | R= 452 | len=452 | loss=-0.000
Ep 0234 | R= 500 | len=500 | loss=0.012
Ep 0235 | R= 388 | len=388 | loss=0.004
Ep 0236 | R= 345 | len=345 | loss=0.007
Ep 0237 | R= 405 | len=405 | loss=0.003
Ep 0238 | R= 423 | len=423 | loss=0.006
Ep 0239 | R= 445 | len=445 | loss=0.004
Ep 0240 | R= 500 | len=500 | loss=-0.008
Ep 0241 | R= 498 | len=498 | loss=-0.012
Ep 0242 | R= 500 | len=500 | loss=0.010
Ep 0243 | R= 500 | len=500 | loss=-0.008
Ep 0244 | R= 500 | len=500 | loss=-0.013
Ep 0245 | R= 500 | len=500 | loss=-0.001
Ep 0246 | R= 500 | len=500 | loss=0.010
Ep 0247 | R= 500 | len=500 | loss=-0.013
Ep 0248 | R= 500 | len=500 | loss=-0.012
Ep 0249 | R= 500 | len=500 | loss=-0.002
Ep 0250 | R= 500 | len=500 | loss=-0.000
Ep 0251 | R= 500 | len=500 | loss=0.019
Ep 0252 | R= 500 | len=500 | loss=-0.011
Ep 0253 | R= 500 | len=500 | loss=0.001
Ep 0254 | R= 500 | len=500 | loss=-0.017
Ep 0255 | R= 500 | len=500 | loss=-0.012
Ep 0256 | R= 500 | len=500 | loss=0.010
Ep 0257 | R= 500 | len=500 | loss=0.002
Ep 0258 | R= 500 | len=500 | loss=0.003
Ep 0259 | R= 500 | len=500 | loss=-0.005
Ep 0260 | R= 426 | len=426 | loss=-0.041
Ep 0261 | R= 500 | len=500 | loss=-0.000
Ep 0262 | R= 500 | len=500 | loss=0.026
Ep 0263 | R= 500 | len=500 | loss=0.002
Ep 0264 | R= 500 | len=500 | loss=-0.007
Ep 0265 | R= 500 | len=500 | loss=-0.002
Ep 0266 | R= 500 | len=500 | loss=0.001
Ep 0267 | R= 500 | len=500 | loss=0.004
Ep 0268 | R= 500 | len=500 | loss=0.012
Ep 0269 | R= 500 | len=500 | loss=-0.001
Ep 0270 | R= 500 | len=500 | loss=-0.015
Ep 0271 | R= 500 | len=500 | loss=-0.009
Ep 0272 | R= 500 | len=500 | loss=-0.027
Ep 0273 | R= 500 | len=500 | loss=-0.011
Ep 0274 | R= 500 | len=500 | loss=-0.002
Ep 0275 | R= 500 | len=500 | loss=-0.005
Ep 0276 | R= 500 | len=500 | loss=-0.013
Ep 0277 | R= 500 | len=500 | loss=-0.001
Ep 0278 | R= 500 | len=500 | loss=0.013
Ep 0279 | R= 500 | len=500 | loss=-0.019
Ep 0280 | R= 500 | len=500 | loss=-0.007
Ep 0281 | R= 238 | len=238 | loss=-0.043
Ep 0282 | R= 500 | len=500 | loss=0.005
Ep 0283 | R= 500 | len=500 | loss=0.012
Ep 0284 | R= 500 | len=500 | loss=0.006
Ep 0285 | R= 500 | len=500 | loss=-0.007
Ep 0286 | R= 500 | len=500 | loss=0.009
Ep 0287 | R= 500 | len=500 | loss=0.020
Ep 0288 | R= 500 | len=500 | loss=0.000
Ep 0289 | R= 500 | len=500 | loss=-0.027
Ep 0290 | R= 500 | len=500 | loss=-0.009
Ep 0291 | R= 500 | len=500 | loss=-0.001
Ep 0292 | R= 500 | len=500 | loss=-0.010
Ep 0293 | R= 500 | len=500 | loss=-0.007
Ep 0294 | R= 500 | len=500 | loss=-0.008
Ep 0295 | R= 500 | len=500 | loss=-0.000
Ep 0296 | R= 500 | len=500 | loss=-0.001
Ep 0297 | R= 500 | len=500 | loss=-0.009
Ep 0298 | R= 500 | len=500 | loss=0.026
Ep 0299 | R= 500 | len=500 | loss=-0.007
Ep 0300 | R= 500 | len=500 | loss=0.036
Ep 0301 | R= 500 | len=500 | loss=-0.007
Ep 0302 | R= 500 | len=500 | loss=-0.029
Ep 0303 | R= 500 | len=500 | loss=-0.014
Ep 0304 | R= 500 | len=500 | loss=0.003
Ep 0305 | R= 500 | len=500 | loss=-0.000
Ep 0306 | R= 500 | len=500 | loss=0.014
Ep 0307 | R= 500 | len=500 | loss=0.009
Ep 0308 | R= 500 | len=500 | loss=-0.029
Ep 0309 | R= 500 | len=500 | loss=-0.036
Ep 0310 | R= 500 | len=500 | loss=-0.006
Ep 0311 | R= 500 | len=500 | loss=0.022
Ep 0312 | R= 500 | len=500 | loss=-0.002
Ep 0313 | R= 500 | len=500 | loss=-0.011
Ep 0314 | R= 500 | len=500 | loss=0.007
Ep 0315 | R= 500 | len=500 | loss=0.023
Ep 0316 | R= 500 | len=500 | loss=0.001
Ep 0317 | R= 500 | len=500 | loss=0.001
Ep 0318 | R= 500 | len=500 | loss=-0.020
Ep 0319 | R= 500 | len=500 | loss=-0.008
Ep 0320 | R= 500 | len=500 | loss=0.028
Ep 0321 | R= 500 | len=500 | loss=-0.002
Ep 0322 | R= 500 | len=500 | loss=-0.010
Ep 0323 | R= 500 | len=500 | loss=-0.015
Ep 0324 | R= 500 | len=500 | loss=-0.016
Ep 0325 | R= 500 | len=500 | loss=-0.016
Ep 0326 | R= 500 | len=500 | loss=-0.022
Ep 0327 | R= 500 | len=500 | loss=-0.004
Ep 0328 | R= 500 | len=500 | loss=0.003
Ep 0329 | R= 500 | len=500 | loss=-0.005
Ep 0330 | R= 500 | len=500 | loss=0.019
Ep 0331 | R= 500 | len=500 | loss=0.003
Ep 0332 | R= 500 | len=500 | loss=0.010
Ep 0333 | R= 500 | len=500 | loss=0.015
Ep 0334 | R= 500 | len=500 | loss=-0.011
Ep 0335 | R= 500 | len=500 | loss=-0.012
Ep 0336 | R= 500 | len=500 | loss=0.013
Ep 0337 | R= 500 | len=500 | loss=0.014
Ep 0338 | R= 500 | len=500 | loss=-0.007
Ep 0339 | R= 256 | len=256 | loss=-0.017
Ep 0340 | R= 500 | len=500 | loss=0.012
Ep 0341 | R= 500 | len=500 | loss=0.014
Ep 0342 | R= 500 | len=500 | loss=0.019
Ep 0343 | R= 500 | len=500 | loss=0.013
Ep 0344 | R= 500 | len=500 | loss=0.001
Ep 0345 | R= 500 | len=500 | loss=-0.011
Ep 0346 | R= 500 | len=500 | loss=0.027
Ep 0347 | R= 500 | len=500 | loss=0.008
Ep 0348 | R= 500 | len=500 | loss=-0.001
Ep 0349 | R= 500 | len=500 | loss=-0.013
Ep 0350 | R= 500 | len=500 | loss=0.017
Ep 0351 | R= 500 | len=500 | loss=-0.028
Ep 0352 | R= 500 | len=500 | loss=0.006
Ep 0353 | R= 500 | len=500 | loss=-0.004
Ep 0354 | R= 500 | len=500 | loss=-0.013
