PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_minimal.py
Using device: cuda
[Pendulum-Min] Ep 0075 | R_raw=-1072.59 | len=200 | actor_loss=-0.043 | critic_loss=54839.820
[Pendulum-Min] Ep 0076 | R_raw=-815.94 | len=200 | actor_loss=-0.091 | critic_loss=30994.979
[Pendulum-Min] Ep 0077 | R_raw=-1016.58 | len=200 | actor_loss=0.088 | critic_loss=50028.891
[Pendulum-Min] Ep 0078 | R_raw=-1613.95 | len=200 | actor_loss=-0.043 | critic_loss=122117.477
[Pendulum-Min] Ep 0079 | R_raw=-1186.10 | len=200 | actor_loss=0.025 | critic_loss=66293.297
[Pendulum-Min] Ep 0080 | R_raw=-1777.20 | len=200 | actor_loss=0.002 | critic_loss=152969.391
[Pendulum-Min] Ep 0081 | R_raw=-959.44 | len=200 | actor_loss=-0.056 | critic_loss=41752.500
[Pendulum-Min] Ep 0082 | R_raw=-1092.06 | len=200 | actor_loss=-0.048 | critic_loss=53463.828
[Pendulum-Min] Ep 0083 | R_raw=-905.71 | len=200 | actor_loss=-0.010 | critic_loss=38868.395
[Pendulum-Min] Ep 0084 | R_raw=-1207.08 | len=200 | actor_loss=-0.033 | critic_loss=65824.875
[Pendulum-Min] Ep 0085 | R_raw=-1013.16 | len=200 | actor_loss=0.121 | critic_loss=46284.688
[Pendulum-Min] Ep 0086 | R_raw=-1041.93 | len=200 | actor_loss=-0.036 | critic_loss=51122.609
[Pendulum-Min] Ep 0087 | R_raw=-1324.42 | len=200 | actor_loss=0.043 | critic_loss=77310.883
[Pendulum-Min] Ep 0088 | R_raw=-1157.09 | len=200 | actor_loss=-0.035 | critic_loss=65426.082
[Pendulum-Min] Ep 0089 | R_raw=-1020.84 | len=200 | actor_loss=-0.031 | critic_loss=50295.148
[Pendulum-Min] Ep 0090 | R_raw=-1232.97 | len=200 | actor_loss=0.015 | critic_loss=65920.617
[Pendulum-Min] Ep 0091 | R_raw=-1144.22 | len=200 | actor_loss=0.105 | critic_loss=53375.410
[Pendulum-Min] Ep 0092 | R_raw=-1059.16 | len=200 | actor_loss=-0.041 | critic_loss=53227.969
[Pendulum-Min] Ep 0093 | R_raw=-1107.59 | len=200 | actor_loss=-0.002 | critic_loss=53038.160
