PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi_2.py
[BipedalWalker-v3] Ep 0150 | R_raw=-112.76 | len= 39 | loss=0.092
[BipedalWalker-v3] Ep 0151 | R_raw=-114.49 | len= 57 | loss=-0.069
[BipedalWalker-v3] Ep 0152 | R_raw= -97.78 | len=164 | loss=-0.085
[BipedalWalker-v3] Ep 0153 | R_raw=-112.65 | len= 44 | loss=-0.084
[BipedalWalker-v3] Ep 0154 | R_raw=-117.58 | len= 78 | loss=-0.016
[BipedalWalker-v3] Ep 0155 | R_raw=-114.77 | len= 61 | loss=0.072
[BipedalWalker-v3] Ep 0156 | R_raw=-116.96 | len= 63 | loss=-0.043
[BipedalWalker-v3] Ep 0157 | R_raw=-110.60 | len= 40 | loss=-0.210
[BipedalWalker-v3] Ep 0158 | R_raw=-113.17 | len= 47 | loss=-0.024
[BipedalWalker-v3] Ep 0159 | R_raw=-115.07 | len= 52 | loss=-0.257
[BipedalWalker-v3] Ep 0160 | R_raw=-114.75 | len= 48 | loss=-0.037
[BipedalWalker-v3] Ep 0161 | R_raw=-112.78 | len= 49 | loss=0.052
[BipedalWalker-v3] Ep 0162 | R_raw=-114.20 | len= 46 | loss=-0.007
[BipedalWalker-v3] Ep 0163 | R_raw=-114.94 | len= 58 | loss=0.081
[BipedalWalker-v3] Ep 0164 | R_raw=-114.73 | len= 49 | loss=-0.081
[BipedalWalker-v3] Ep 0165 | R_raw=-116.90 | len= 78 | loss=0.009
[BipedalWalker-v3] Ep 0166 | R_raw=-115.83 | len= 74 | loss=0.032
[BipedalWalker-v3] Ep 0167 | R_raw=-114.04 | len= 55 | loss=0.037
[BipedalWalker-v3] Ep 0168 | R_raw=-115.75 | len= 55 | loss=-0.007
[BipedalWalker-v3] Ep 0169 | R_raw=-124.67 | len=150 | loss=0.100
[BipedalWalker-v3] Ep 0170 | R_raw=-112.08 | len= 38 | loss=-0.026
[BipedalWalker-v3] Ep 0171 | R_raw=-115.65 | len= 51 | loss=0.098
[BipedalWalker-v3] Ep 0172 | R_raw= -40.10 | len=1600 | loss=-0.002
[BipedalWalker-v3] Ep 0173 | R_raw=-114.05 | len= 39 | loss=-0.097
[BipedalWalker-v3] Ep 0174 | R_raw=-114.02 | len= 43 | loss=-0.059
[BipedalWalker-v3] Ep 0175 | R_raw=-115.27 | len= 58 | loss=0.234
[BipedalWalker-v3] Ep 0176 | R_raw=-115.59 | len= 54 | loss=-0.018
[BipedalWalker-v3] Ep 0177 | R_raw=-114.36 | len= 57 | loss=-0.183
[BipedalWalker-v3] Ep 0178 | R_raw=-116.13 | len= 57 | loss=0.133
[BipedalWalker-v3] Ep 0179 | R_raw=-114.79 | len= 43 | loss=0.044
[BipedalWalker-v3] Ep 0180 | R_raw=-116.78 | len= 58 | loss=0.205
[BipedalWalker-v3] Ep 0181 | R_raw=-113.64 | len= 46 | loss=0.133
[BipedalWalker-v3] Ep 0182 | R_raw=-112.46 | len= 38 | loss=-0.096
[BipedalWalker-v3] Ep 0183 | R_raw=-115.02 | len= 54 | loss=-0.230
[BipedalWalker-v3] Ep 0184 | R_raw=-116.36 | len= 52 | loss=0.179
[BipedalWalker-v3] Ep 0185 | R_raw=-115.14 | len= 46 | loss=0.009
[BipedalWalker-v3] Ep 0186 | R_raw=-114.85 | len= 44 | loss=0.068
[BipedalWalker-v3] Ep 0187 | R_raw=-113.80 | len= 53 | loss=0.224
[BipedalWalker-v3] Ep 0188 | R_raw=-116.84 | len= 63 | loss=0.040
[BipedalWalker-v3] Ep 0189 | R_raw=-114.50 | len= 74 | loss=-0.067
[BipedalWalker-v3] Ep 0190 | R_raw=-112.51 | len= 40 | loss=0.000
[BipedalWalker-v3] Ep 0191 | R_raw=-115.40 | len= 46 | loss=-0.025
[BipedalWalker-v3] Ep 0192 | R_raw= -97.64 | len= 98 | loss=-0.107
[BipedalWalker-v3] Ep 0193 | R_raw=-114.42 | len= 51 | loss=-0.178
[BipedalWalker-v3] Ep 0194 | R_raw=-116.66 | len= 72 | loss=-0.033
[BipedalWalker-v3] Ep 0195 | R_raw=-115.74 | len= 54 | loss=-0.130
[BipedalWalker-v3] Ep 0196 | R_raw=-116.95 | len= 69 | loss=0.046
[BipedalWalker-v3] Ep 0197 | R_raw=-113.44 | len= 46 | loss=-0.160
[BipedalWalker-v3] Ep 0198 | R_raw=-113.91 | len= 46 | loss=-0.128
[BipedalWalker-v3] Ep 0199 | R_raw=-116.40 | len= 52 | loss=0.015
[BipedalWalker-v3] Ep 0200 | R_raw=-112.85 | len= 40 | loss=0.082
[BipedalWalker-v3] Ep 0201 | R_raw=-116.73 | len= 50 | loss=0.037
[BipedalWalker-v3] Ep 0202 | R_raw=-115.95 | len= 56 | loss=0.089
[BipedalWalker-v3] Ep 0203 | R_raw=-116.02 | len= 60 | loss=0.191
[BipedalWalker-v3] Ep 0204 | R_raw=-115.02 | len= 54 | loss=0.165
[BipedalWalker-v3] Ep 0205 | R_raw=-118.71 | len=101 | loss=-0.131
[BipedalWalker-v3] Ep 0206 | R_raw=-117.09 | len=100 | loss=-0.044
[BipedalWalker-v3] Ep 0207 | R_raw= -96.60 | len= 95 | loss=-0.173
[BipedalWalker-v3] Ep 0208 | R_raw=-119.43 | len= 65 | loss=0.022
[BipedalWalker-v3] Ep 0209 | R_raw=-113.96 | len= 63 | loss=0.083
[BipedalWalker-v3] Ep 0210 | R_raw=-113.37 | len= 54 | loss=0.057
[BipedalWalker-v3] Ep 0211 | R_raw=-117.07 | len= 49 | loss=0.228
[BipedalWalker-v3] Ep 0212 | R_raw=-116.37 | len= 55 | loss=0.084
[BipedalWalker-v3] Ep 0213 | R_raw=-113.72 | len= 46 | loss=-0.205
[BipedalWalker-v3] Ep 0214 | R_raw=-116.04 | len= 55 | loss=-0.063
[BipedalWalker-v3] Ep 0215 | R_raw=-114.43 | len= 49 | loss=0.134
[BipedalWalker-v3] Ep 0216 | R_raw=-115.19 | len= 54 | loss=0.109
[BipedalWalker-v3] Ep 0217 | R_raw=-116.00 | len= 52 | loss=0.381
[BipedalWalker-v3] Ep 0218 | R_raw=-113.51 | len= 40 | loss=-0.039
[BipedalWalker-v3] Ep 0219 | R_raw=-156.28 | len=1416 | loss=0.031
[BipedalWalker-v3] Ep 0220 | R_raw=-112.16 | len= 40 | loss=-0.128
[BipedalWalker-v3] Ep 0221 | R_raw=-117.02 | len= 53 | loss=-0.010
[BipedalWalker-v3] Ep 0222 | R_raw=-114.30 | len= 58 | loss=-0.016
[BipedalWalker-v3] Ep 0223 | R_raw=-115.19 | len= 55 | loss=-0.005
[BipedalWalker-v3] Ep 0224 | R_raw=-112.86 | len= 59 | loss=0.200
[BipedalWalker-v3] Ep 0225 | R_raw=-145.72 | len=1001 | loss=0.027
[BipedalWalker-v3] Ep 0226 | R_raw=-114.56 | len= 67 | loss=-0.211
[BipedalWalker-v3] Ep 0227 | R_raw=-115.77 | len= 48 | loss=0.155
[BipedalWalker-v3] Ep 0228 | R_raw=-112.95 | len= 44 | loss=-0.016
[BipedalWalker-v3] Ep 0229 | R_raw=-113.97 | len= 46 | loss=-0.200
[BipedalWalker-v3] Ep 0230 | R_raw=-115.00 | len= 52 | loss=0.139
[BipedalWalker-v3] Ep 0231 | R_raw=-115.11 | len= 47 | loss=0.316
[BipedalWalker-v3] Ep 0232 | R_raw=-112.71 | len= 42 | loss=-0.028
[BipedalWalker-v3] Ep 0233 | R_raw=-115.82 | len= 66 | loss=0.133
[BipedalWalker-v3] Ep 0234 | R_raw=-112.83 | len= 47 | loss=0.150
[BipedalWalker-v3] Ep 0235 | R_raw=-116.21 | len= 62 | loss=0.097
[BipedalWalker-v3] Ep 0236 | R_raw=-111.74 | len= 37 | loss=-0.205
[BipedalWalker-v3] Ep 0237 | R_raw=-118.23 | len= 93 | loss=0.003
[BipedalWalker-v3] Ep 0238 | R_raw=-113.92 | len= 50 | loss=0.146
[BipedalWalker-v3] Ep 0239 | R_raw=-115.59 | len= 53 | loss=0.001
[BipedalWalker-v3] Ep 0240 | R_raw=-115.14 | len= 51 | loss=0.302
[BipedalWalker-v3] Ep 0241 | R_raw=-121.56 | len= 88 | loss=0.008
[BipedalWalker-v3] Ep 0242 | R_raw=-114.08 | len= 41 | loss=-0.085
[BipedalWalker-v3] Ep 0243 | R_raw=-116.87 | len= 74 | loss=0.107
[BipedalWalker-v3] Ep 0244 | R_raw=-120.60 | len= 74 | loss=-0.113
[BipedalWalker-v3] Ep 0245 | R_raw=-119.07 | len= 60 | loss=-0.253
[BipedalWalker-v3] Ep 0246 | R_raw= -96.62 | len= 87 | loss=-0.099
[BipedalWalker-v3] Ep 0247 | R_raw= -40.42 | len=1600 | loss=-0.073
[BipedalWalker-v3] Ep 0248 | R_raw=-113.72 | len= 52 | loss=-0.059
[BipedalWalker-v3] Ep 0249 | R_raw=-115.50 | len= 62 | loss=0.207
[BipedalWalker-v3] Ep 0250 | R_raw=-117.00 | len= 81 | loss=-0.060
[BipedalWalker-v3] Ep 0251 | R_raw=-116.67 | len= 67 | loss=0.064
[BipedalWalker-v3] Ep 0252 | R_raw=-115.39 | len= 74 | loss=0.016
[BipedalWalker-v3] Ep 0253 | R_raw=-118.35 | len= 54 | loss=0.164
[BipedalWalker-v3] Ep 0254 | R_raw=-119.30 | len=100 | loss=0.091
[BipedalWalker-v3] Ep 0255 | R_raw=-111.19 | len= 39 | loss=0.222
[BipedalWalker-v3] Ep 0256 | R_raw=-114.58 | len= 47 | loss=0.242
[BipedalWalker-v3] Ep 0257 | R_raw=-116.94 | len= 76 | loss=-0.100
[BipedalWalker-v3] Ep 0258 | R_raw=-118.10 | len= 74 | loss=-0.187
[BipedalWalker-v3] Ep 0259 | R_raw=-111.70 | len= 40 | loss=-0.026
[BipedalWalker-v3] Ep 0260 | R_raw= -45.04 | len=1600 | loss=-0.063
[BipedalWalker-v3] Ep 0261 | R_raw=-113.94 | len= 43 | loss=-0.012
[BipedalWalker-v3] Ep 0262 | R_raw= -43.23 | len=1600 | loss=-0.043
[BipedalWalker-v3] Ep 0263 | R_raw=-111.93 | len= 38 | loss=0.130
[BipedalWalker-v3] Ep 0264 | R_raw=-115.48 | len= 55 | loss=-0.069
[BipedalWalker-v3] Ep 0265 | R_raw=-110.96 | len= 37 | loss=-0.084
[BipedalWalker-v3] Ep 0266 | R_raw=-117.90 | len= 64 | loss=0.166
[BipedalWalker-v3] Ep 0267 | R_raw=-118.99 | len=194 | loss=-0.059
[BipedalWalker-v3] Ep 0268 | R_raw=-119.12 | len= 99 | loss=0.106
[BipedalWalker-v3] Ep 0269 | R_raw=-117.48 | len= 60 | loss=0.197
[BipedalWalker-v3] Ep 0270 | R_raw=-115.31 | len= 48 | loss=0.021
[BipedalWalker-v3] Ep 0271 | R_raw=-119.86 | len= 85 | loss=0.116
[BipedalWalker-v3] Ep 0272 | R_raw=-117.63 | len= 68 | loss=0.393
[BipedalWalker-v3] Ep 0273 | R_raw=-116.90 | len= 73 | loss=0.017
[BipedalWalker-v3] Ep 0274 | R_raw=-117.93 | len= 61 | loss=0.032
[BipedalWalker-v3] Ep 0275 | R_raw=-117.66 | len= 70 | loss=0.072
[BipedalWalker-v3] Ep 0276 | R_raw=-117.26 | len= 62 | loss=0.268
[BipedalWalker-v3] Ep 0277 | R_raw=-117.20 | len= 60 | loss=-0.241
[BipedalWalker-v3] Ep 0278 | R_raw=-116.57 | len= 55 | loss=0.226
[BipedalWalker-v3] Ep 0279 | R_raw=-117.55 | len= 66 | loss=0.373
[BipedalWalker-v3] Ep 0280 | R_raw=-112.99 | len= 41 | loss=0.148
[BipedalWalker-v3] Ep 0281 | R_raw= -95.12 | len= 95 | loss=-0.176
[BipedalWalker-v3] Ep 0282 | R_raw=-119.81 | len= 71 | loss=-0.201
[BipedalWalker-v3] Ep 0283 | R_raw=-116.70 | len= 61 | loss=0.301
[BipedalWalker-v3] Ep 0284 | R_raw=-118.63 | len= 71 | loss=0.140
[BipedalWalker-v3] Ep 0285 | R_raw= -43.02 | len=1600 | loss=-0.028
[BipedalWalker-v3] Ep 0286 | R_raw= -95.12 | len= 91 | loss=-0.246
[BipedalWalker-v3] Ep 0287 | R_raw=-120.71 | len= 83 | loss=0.029
[BipedalWalker-v3] Ep 0288 | R_raw= -95.01 | len=111 | loss=-0.244
[BipedalWalker-v3] Ep 0289 | R_raw=-115.59 | len= 51 | loss=-0.051
[BipedalWalker-v3] Ep 0290 | R_raw=-119.44 | len= 78 | loss=0.186
[BipedalWalker-v3] Ep 0291 | R_raw=-113.07 | len= 46 | loss=0.286
[BipedalWalker-v3] Ep 0292 | R_raw=-115.63 | len= 51 | loss=0.226
[BipedalWalker-v3] Ep 0293 | R_raw=-119.82 | len=111 | loss=0.026
[BipedalWalker-v3] Ep 0294 | R_raw=-116.04 | len= 48 | loss=-0.058
[BipedalWalker-v3] Ep 0295 | R_raw=-117.49 | len= 69 | loss=-0.075
[BipedalWalker-v3] Ep 0296 | R_raw=-116.23 | len= 49 | loss=-0.105
[BipedalWalker-v3] Ep 0297 | R_raw=-118.90 | len= 85 | loss=0.010
[BipedalWalker-v3] Ep 0298 | R_raw=-114.55 | len= 53 | loss=0.129
[BipedalWalker-v3] Ep 0299 | R_raw=-117.59 | len= 73 | loss=0.134
[BipedalWalker-v3] Ep 0300 | R_raw=-115.98 | len= 62 | loss=0.077
