PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_elite_2.py
Using device: cuda
[INIT] best_eval=-1261.30

=== Generation 1/50 ===
[Train] Gen 2 Ep 27/30 GlobalEp 57 | R_raw=-893.52 | len=200 | actor_loss=0.058 | critic_loss=39580.906
[Train] Gen 2 Ep 28/30 GlobalEp 58 | R_raw=-1372.68 | len=200 | actor_loss=0.028 | critic_loss=85368.547
[Train] Gen 2 Ep 29/30 GlobalEp 59 | R_raw=-1070.82 | len=200 | actor_loss=0.027 | critic_loss=50446.469
[Train] Gen 2 Ep 30/30 GlobalEp 60 | R_raw=-898.84 | len=200 | actor_loss=-0.080 | critic_loss=41470.242
[Eval] Gen 2 | avg_train=-1155.16 | avg_eval=-1280.20 | best_eval=-1261.30
[REJECT] Generation discarded; keeping previous averaged elite.

=== Generation 3/50 ===
[Train] Gen 3 Ep 1/30 GlobalEp 61 | R_raw=-1011.55 | len=200 | actor_loss=-0.066 | critic_loss=46003.141
[Train] Gen 3 Ep 2/30 GlobalEp 62 | R_raw=-981.90 | len=200 | actor_loss=-0.014 | critic_loss=50156.039
[Train] Gen 3 Ep 3/30 GlobalEp 63 | R_raw=-878.55 | len=200 | actor_loss=-0.025 | critic_loss=40370.387
[Train] Gen 3 Ep 4/30 GlobalEp 64 | R_raw=-1570.99 | len=200 | actor_loss=-0.019 | critic_loss=115091.898
[Train] Gen 3 Ep 5/30 GlobalEp 65 | R_raw=-907.37 | len=200 | actor_loss=-0.001 | critic_loss=40824.164
[Train] Gen 3 Ep 6/30 GlobalEp 66 | R_raw=-1000.14 | len=200 | actor_loss=-0.017 | critic_loss=46689.820
[Train] Gen 3 Ep 7/30 GlobalEp 67 | R_raw=-1509.96 | len=200 | actor_loss=-0.037 | critic_loss=103440.875
[Train] Gen 3 Ep 8/30 GlobalEp 68 | R_raw=-1745.03 | len=200 | actor_loss=0.025 | critic_loss=148581.906
[Train] Gen 3 Ep 9/30 GlobalEp 69 | R_raw=-987.55 | len=200 | actor_loss=-0.032 | critic_loss=44334.840
[Train] Gen 3 Ep 10/30 GlobalEp 70 | R_raw=-1013.78 | len=200 | actor_loss=0.061 | critic_loss=48687.141
[Train] Gen 3 Ep 11/30 GlobalEp 71 | R_raw=-848.72 | len=200 | actor_loss=0.095 | critic_loss=30338.896
[Train] Gen 3 Ep 12/30 GlobalEp 72 | R_raw=-1044.19 | len=200 | actor_loss=-0.173 | critic_loss=54700.141
[Train] Gen 3 Ep 13/30 GlobalEp 73 | R_raw=-1518.15 | len=200 | actor_loss=0.038 | critic_loss=108585.414
[Train] Gen 3 Ep 14/30 GlobalEp 74 | R_raw=-1108.82 | len=200 | actor_loss=-0.060 | critic_loss=56150.152
[Train] Gen 3 Ep 15/30 GlobalEp 75 | R_raw=-1351.37 | len=200 | actor_loss=0.036 | critic_loss=82255.438
