mjd,residual_us,pulsar
53449.52811721278,4.9672399598073955,B1855+09
53686.797608136956,7.9945488766323605,B1855+09
53686.797608132845,0.9990107047521455,B1855+09
53686.79760819274,3.126308862282971,B1855+09
53686.797608192246,-2.110117371639061,B1855+09
53686.79760819354,0.01718078589176461,B1855+09
53457.492906810505,1.0808298645859342,B1855+09
53457.49290680645,0.3853670054390059,B1855+09
53457.492906866304,2.3081172630805136,B1855+09
53457.49290686583,0.18081910568990936,B1855+09
53457.49290686709,2.2672076831306938,B1855+09
53750.63074678262,2.471755583088072,B1855+09
53750.630746778574,1.0808298646770098,B1855+09
53750.63074683841,0.7535532250508775,B1855+09
53750.630746837975,1.7762927238825408,B1855+09
53750.64116368138,2.9626705425272792,B1855+09
53750.641163677305,-0.31009585373405335,B1855+09
53750.64116373717,1.203558604536813,B1855+09
53750.641163736705,0.3444574255182132,B1855+09
54519.524219288185,4.149048362089039,B1855+09
54519.524219284096,-0.3510054337648996,B1855+09
54519.52421934396,2.410391213690927,B1855+09
54519.5242193435,0.8149175951608937,B1855+09
54519.52421934472,-0.28964106382143684,B1855+09
54519.53466087422,1.7762927242751498,B1855+09
54519.534660870195,3.5558594526355765,B1855+09
54519.53466093003,3.1467636530124903,B1855+09
54519.534660929574,2.1853885238982365,B1855+09
54519.53466093079,0.44673137550011827,B1855+09
53456.503585326966,2.6353939026783184,B1855+09
53456.50358532286,-2.355574851198218,B1855+09
53456.50358538272,-0.2691862737580265,B1855+09
53456.50358538232,4.639963320218894,B1855+09
53456.503585383514,0.5490053252381271,B1855+09
53926.16323983539,2.1035693636148154,B1855+09
53926.16323983135,1.8990214638381615,B1855+09
53926.163239829155,2.8808513827660995,B1855+09
53926.16323982869,1.2035586045975388,B1855+09
53926.16323982991,-1.1691970328116452,B1855+09
55731.25573165065,-0.2282766939574876,B1855+09
55731.255731646655,4.0109785311133574,B1855+09
55731.255731706464,0.651279275538514,B1855+09
55731.255731706005,0.27797935825242026,B1855+09
55731.25573170726,1.5973133124964227,B1855+09
53450.49252100111,-1.2101066126015119,B1855+09
53450.492520997075,-1.128287452702038,B1855+09
53450.492521056956,1.694473563829814,B1855+09
53450.492521056505,2.226298103176395,B1855+09
53450.49252105777,3.821771721216137,B1855+09
53453.50657998205,1.6126544039317372,B1855+09
53453.506579978,0.835372384886061,B1855+09
53453.506580037836,0.6308244851371988,B1855+09
53453.506580037385,0.9581011247353783,B1855+09
53453.50658003866,3.5763142415208136,B1855+09
53968.05726005729,0.01718078589315368,B1855+09
53968.05726005329,1.980840623772678,B1855+09
53968.05726011314,0.8762819649654456,B1855+09
53968.05726011273,2.0626597836843246,B1855+09
